WT_1_1 WT_2_2 WT_3_3 WT_4_4 WT_5_5 WT_6_6 WT_7_7 WT_8_8 WT_9_9 WT_10_10 WT_11_11 WT_12_12 WT_13_13 WT_14_14 WT_15_15 WT_16_16 WT_17_17 WT_18_18 WT_19_19 WT_20_20 WT_21_21 WT_22_22 WT_23_23 WT_24_49 WT_25_51 WT_26_55 WT_27_58 WT_28_60 WT_29_63 WT_30_65 WT_31_67 WT_32_69 WT_33_71 WT_34_288 SS_1_50 SS_2_52 SS_3_53 SS_4_54 SS_5_56 SS_6_57 SS_7_59 SS_8_61 SS_9_62 SS_10_64 SS_11_66 SS_12_68 SS_13_70 SS_14_72 SS_15_289 SS_16_290 SS_17_291 SS_18_292 SS_19_293 SS_20_294 TS_2_26_t5 TS_2_26_t5 TS_2_26_t5 TS_2_26_t5 TS_2_27_t10 TS_2_27_t10 TS_2_27_t10 TS_2_27_t10 TS_2_28_t16 TS_2_28_t16 TS_2_28_t16 TS_2_29_t24 TS_2_29_t24 TS_2_30_t36 TS_3_32_t5 TS_3_33_t6 TS_3_34_t8 TS_4_37_t8 TS_4_37_t8 TS_4_37_t8 TS_4_38_t14 TS_4_38_t14 TS_4_39_t30 TS_7_45_t8 TS_7_45_t8 TS_7_45_t8 TS_7_46_t14 TS_7_46_t14 TS_7_47_t30 TS_18_110_t5 TS_18_110_t5 TS_18_111_t6 TS_18_111_t6 TS_18_112_t7 TS_18_113_t8 TS_18_114_t9 TS_18_115_t10 TS_18_116_t11 TS_19_119_t5 TS_19_119_t5 TS_19_120_t6 TS_19_120_t6 TS_19_121_t7 TS_19_122_t8 TS_19_123_t9 TS_19_124_t10 TS_19_125_t11 TS_33_169_t14 TS_33_169_t14 TS_33_170_t30 TS_34_172_t14 TS_34_172_t14 TS_34_173_t30 TS_35_175_t0 TS_35_176_t2 TS_36_178_t0 TS_36_179_t2 TS_37_181_t2 TS_38_183_t2 TS_44_196_t0 TS_44_196_t0 TS_44_196_t0 TS_45_200_t0 TS_45_200_t0 TS_45_200_t0 TS_45_201_t2 TS_45_201_t2 TS_45_202_t4 TS_45_202_t4 TS_45_203_t6 TS_45_203_t6 TS_53_230_t0 TS_53_231_t2 TS_54_233_t2 TS_55_235_t0 TS_55_236_t2 TS_56_238_t2 TS_58_242_t0 TS_59_245_t0 TS_67_276_t0 TS_68_280_t0 TS_69_284_t0
G43 8.06094165 8.64188333333333 8.2693 7.88876665 8.5547 8.6332 8.73648333333333 8.41406665 8.4245 8.55995 8.273225 8.1504 8.67208 8.1548 8.37598 8.07335 8.3185 8.55125 8.52385 8.207215 8.442525 8.07825556666667 8.49265 8.1828 7.9199333 8.47235 8.28511666 8.3626 8.57607334 7.98855 8.1935 8.7388 8.0375 8.4269 8.1009 8.0049667 8.08996665 8.74218335 8.50485553333333 8.76024 8.42604 8.5139 8.32632 8.43049666 8.4086 8.2317 7.9703667 7.9591 8.43663333333333 8.42093333333333 8.68245 8.5181 8.46533333333333 8.78663333333333 8.23768335 8.23768335 8.23768335 8.23768335 8.33455 8.33455 8.33455 8.33455 8.11334585 8.11334585 8.11334585 8.13245 8.13245 8.553325 8.74065 8.6824 8.36221665 8.9209 8.9209 8.9209 8.88115 8.88115 8.4792 8.06555 8.06555 8.06555 8.2885 8.2885 8.2159 8.373 8.373 8.8527 8.8527 8.5393 8.8463 8.545 9.112 8.6136 8.1871 8.1871 8.6926 8.6926 8.5143 8.4503 8.538 8.6466 8.4824 8.566 8.566 8.439 8.7354 8.7354 8.3708 8.6006 8.51816666666667 8.60114443333333 8.47718886666667 8.3625111 8.3092 9.5294 9.5294 9.5294 8.393 8.393 8.393 8.2434 8.2434 8.5507 8.5507 8.375 8.375 9.4096 8.46166666666667 8.8949 8.82334 8.4538 8.62413333333333 8.19175 8.24675 7.7541 8.31305 8.3195
G44 8.22635 8.41116666666667 7.61011665 8.04416665 8.09015 7.8414 8.14776666666667 8.03475835 8.46996666666667 7.974225 8.060125 8.7531 8.39708 8.4722 8.4507 8.405625 8.23425556666667 8.31838335 8.18755 8.34567 8.03255 8.33437776666667 8.11005 8.3957333 8.3567 7.84805 8.34548334 8.3566 8.50978 8.36835 7.612 8.05805 8.2888667 8.3143 8.3964333 8.5256333 8.37935 8.42551665 8.24883333333333 8.24882 8.41802 8.198 8.39484 8.38237834 8.31275 8.3243 8.6019667 8.3067 8.44123333333333 8.29113333333333 8.38643333333333 8.60826666666667 8.48816666666667 8.207 8.26018335 8.26018335 8.26018335 8.26018335 8.42395 8.42395 8.42395 8.42395 8.198225 8.198225 8.198225 7.88991665 7.88991665 8.047275 8.19601665 8.27065 8.57298335 8.26685 8.26685 8.26685 8.3309 8.3309 8.5204 8.1326 8.1326 8.1326 8.4466 8.4466 7.9939 8.1947 8.1947 8.1072 8.1072 8.1266 8.2256 8.1805 8.2935 8.3149 8.113 8.113 8.3524 8.3524 8.0868 7.9788 8.1697 8.075 8.1238 8.3608 8.3608 8.2044 8.3114 8.3114 8.2544 8.2785 8.4174 8.31255556666667 8.34965553333333 8.33397776666667 7.52553333333333 8.1823 8.1823 8.1823 8.4131 8.4131 8.4131 8.4766 8.4766 8.6647 8.6647 8.6597 8.6597 8.0777 8.1645 8.3554 8.46432 8.22473333333333 8.34076666666667 8.45585 8.44305 7.94515 8.3735 8.2084
G45 8.06401665 8.4855 7.48811665 7.730675 8.22905 8.3149 8.28331666666667 8.006475 8.36273333333333 8.14063335 8.2952 8.4131 8.2604 8.4964 8.0349 8.479725 8.45647776666667 8.1668 8.62205 8.217655 8.08015 8.28532223333333 8.56306665 8.2137 8.0398333 8.35273333333333 8.32841334 8.4867 8.73826 8.281 8.1421 8.40105 8.1652 8.1702 8.2283333 8.1845667 8.21175 8.4712 7.8861 8.40422 8.51802 8.4381 8.47816 8.45612834 8.1264 8.3925 8.2469667 8.2114333 8.57926666666667 8.44841666666667 8.5175 8.3077 8.19546666666667 8.1337 8.25938335 8.25938335 8.25938335 8.25938335 8.060025 8.060025 8.060025 8.060025 8.00159585 8.00159585 8.00159585 7.92391665 7.92391665 8.27635 8.72433335 8.345 8.5468667 8.20395 8.20395 8.20395 8.1528 8.1528 8.2668333 8.05525 8.05525 8.05525 8.5008 8.5008 8.2339 8.461 8.461 8.799 8.799 8.9412 8.9045 8.364 9.0508 8.5365 8.9614 8.9614 8.9476 8.9476 8.012 8.0252 8.047 8.0724 8.1072 8.5135 8.5135 8.2672 8.375 8.375 8.443 8.31743333333333 8.24383333333333 8.1938889 8.23843333333333 8.2519111 8.20693333333333 8.4936333 8.4936333 8.4936333 8.5205 8.5205 8.5205 8.5402 8.5402 8.5191 8.5191 8.3517 8.3517 8.12666666666667 8.08866666666667 8.65963333333333 8.90218 8.6134 8.1462 8.41435 8.07735 8.2036 8.0174 8.04175
G46 8.45275835 8.49411666666667 8.1924 8.15889165 8.2714 8.7761 8.47571666666667 8.43375835 7.99688333333333 8.49866665 8.70895 8.2967 8.31525335 8.2376 8.25958 8.559125 8.27777776666667 8.2394 8.2917 8.16861 8.749775 8.4871111 8.29531665 7.9938333 7.8788667 8.67565 8.73019666 9.0757 8.46921334 8.2328 8.8296 8.27925 8.1264667 8.04426666666667 8.0171667 7.9824667 7.8929 8.41323335 8.29523333333333 8.27542 8.68258 9.1292 8.49468 8.429665 8.36575 8.101 8.3979667 8.0428333 8.19116666666667 8.1416 8.2097 7.99726666666667 8.0533 7.87043333333333 8.20248335 8.20248335 8.20248335 8.20248335 8.323475 8.323475 8.323475 8.323475 8.28589165 8.28589165 8.28589165 7.97345 7.97345 8.35885 8.62515 8.196775 8.30441665 8.4603 8.4603 8.4603 8.47825 8.47825 8.4313333 9.4439 9.4439 9.4439 8.0949 8.0949 8.5135 8.0844 8.0844 8.5902 8.5902 8.8319 8.9062 8.7966 8.9634 8.5697 8.5751 8.5751 8.8236 8.8236 8.2274 8.2839 8.4275 8.0057 8.2356 8.1707 8.1707 8.0033 8.1097 8.1097 8.1494 8.1622 8.1224 7.97092223333333 8.19873333333333 8.01325556666667 8.3746 8.8819667 8.8819667 8.8819667 8.208 8.208 8.208 8.3776 8.3776 8.0469 8.0469 8.0324 8.0324 8.1989 8.18216666666667 8.1647 8.27876 7.8486 8.10816666666667 8.06245 7.80665 8.05805 8.36825 7.95635
G47 7.79665835 7.66911666666667 7.1512 7.42229165 7.32295 8.3009 7.43115 7.728975 7.55123333333333 7.96193335 7.530675 8.1623 7.45760335 7.8459 7.64218 7.8737 7.85244443333333 7.48068335 7.47215 7.712385 7.69595 7.41763333333333 7.75205 7.6158 7.6231 7.81503333333333 7.65973334 7.8108 7.59945998 7.40575 6.9706 7.1889 7.5878 7.348 7.5891667 7.6162333 7.56553335 7.34741665 7.6805 7.52726 7.64488 7.9549 7.64036 7.67294834 7.45765 7.808 7.7609667 7.664 7.37166666666667 7.4325 7.512 7.6507 7.33353333333333 6.93593333333333 7.72578335 7.72578335 7.72578335 7.72578335 7.6133 7.6133 7.6133 7.6133 7.40957915 7.40957915 7.40957915 7.23621665 7.23621665 7.6052 7.59418335 7.5902 7.77305 7.67285 7.67285 7.67285 7.6292 7.6292 7.5924333 8.3706 8.3706 8.3706 7.9422 7.9422 7.1936 7.3958 7.3958 7.6832 7.6832 7.9506 7.5956 7.0183 7.1302 7.5261 7.585 7.585 7.8156 7.8156 7.287 7.5076 7.4301 7.3846 7.4722 7.1806 7.1806 7.3778 7.4041 7.4041 7.6403 7.87566666666667 7.75286666666667 7.41537776666667 7.44513333333333 7.0569889 6.85686666666667 7.4371 7.4371 7.4371 7.4267 7.4267 7.4267 7.7895 7.7895 7.9933 7.9933 7.7443 7.7443 7.3864 7.31893333333333 7.46963333333333 7.54314 7.18556666666667 7.0983 7.7261 7.9662 7.75215 7.51665 7.35515
G48 7.98875 8.54946666666667 7.95621665 7.64464165 7.868775 8.5826 8.63225 8.3729 8.5409 7.63934165 8.9459 10.057 8.79895 9.4772 8.09682 9.1369 8.57647776666667 8.38253335 8.8936 8.606135 8.75595 8.18412223333333 8.82651665 8.1236667 8.0949333 8.48645 8.72286 8.1656 8.52012666 7.759 7.7238 8.03805 8.5883 8.691 8.2893 8.2187333 8.13205 8.71773335 8.2911 9.3641 8.11284 8.1767 8.70334 8.69131666 8.20625 7.7031 7.6289333 7.8216 7.8174 8.04808333333333 8.02618333333333 8.47556666666667 8.18966666666667 7.7345 8.30251665 8.30251665 8.30251665 8.30251665 7.8084 7.8084 7.8084 7.8084 7.83050835 7.83050835 7.83050835 9.00345 9.00345 8.5269 8.80948335 8.433625 8.28585 8.6707 8.6707 8.6707 8.60645 8.60645 9.3836 7.4805 7.4805 7.4805 10.812 10.812 8.0066 8.6318 8.6318 8.6503 8.6503 8.9612 9.5873 8.4354 8.9517 8.4565 8.7646 8.7646 8.793 8.793 8.1471 8.1401 7.8581 8.3719 8.0989 8.3784 8.3784 7.9834 8.4464 8.4464 7.858 9.45643333333333 9.2613 8.94235556666667 8.52795553333333 7.96502223333333 7.61096666666667 8.5863333 8.5863333 8.5863333 9.675 9.675 9.675 8.6357 8.6357 8.9061 8.9061 8.3955 8.3955 8.9259 8.12376666666667 8.49883333333333 8.03366 8.67613333333333 8.14386666666667 7.68625 9.30675 8.83405 7.9305 8.6254
G49 8.58354165 8.48086666666667 9.53108335 8.51091665 8.644 7.7332 8.09183333333333 8.8244 7.72835 7.72730835 8.086725 7.6411 7.83073 7.4906 8.13834 7.725325 7.824 10.07925 7.5471 8.2297 9.50335 8.40923333333333 8.0607 7.4183333 9.1888 9.30101666666667 8.03332666 10.283 8.6786 9.0445 11.267 8.2625 8.4668 8.60196666666667 7.6611 9.0234 7.8051 7.37498335 8.16366666666667 7.65744 8.34868 8.0753 8.5299 7.77751334 7.72085 8.0424 8.6913667 8.5588667 7.69506666666667 8.3772 8.31296666666667 9.43993333333333 7.53856666666667 8.24026666666667 8.55776665 8.55776665 8.55776665 8.55776665 8.056375 8.056375 8.056375 8.056375 7.90159585 7.90159585 7.90159585 8.03695 8.03695 8.415725 8.17851665 8.42795 7.9926 7.45695 7.45695 7.45695 8.8724 8.8724 8.9578667 7.55805 7.55805 7.55805 10.17 10.17 9.3507 7.0837 7.0837 8.2411 8.2411 11.845 10.981 9.0787 7.1101 7.6624 7.8522 7.8522 10.981 10.981 8.4831 7.3457 7.7006 8.3911 8.1843 8.2393 8.2393 7.7066 7.5615 7.5615 9.1246 8.49856666666667 8.15826666666667 8.64153333333333 8.15326666666667 8.51036666666667 10.2671333333333 7.9243667 7.9243667 7.9243667 7.3935 7.3935 7.3935 7.4348 7.4348 7.8528 7.8528 8.3546 8.3546 7.63486666666667 8.798 8.7618 8.1326 8.5896 8.2067 9.36225 8.21665 8.5205 8.37555 8.9437
G50 9.40605 10.2754666666667 9.72095 8.67375 10.784375 8.982 9.72901666666667 8.57866665 8.82116666666667 9.94505835 9.272175 10.604 10.18371335 8.9222 9.49792 9.822 8.9265889 8.89855 8.5843 10.296505 9.79585 10.3271444333333 10.7815 10.742 9.6706333 8.66151666666667 9.55682666 8.5872 9.55802 7.9272 9.9285 8.389 9.3088 11.589 9.2958 9.0851333 10.38468335 10.18296665 10.4500333333333 9.38066 9.5667 9.2117 10.52544 9.80420166 10.6335 7.6591 9.3023333 10.2017333 10.0149666666667 9.0442 8.81788333333333 8.96153333333333 9.21296666666667 8.9418 8.65643335 8.65643335 8.65643335 8.65643335 8.394825 8.394825 8.394825 8.394825 10.22414165 10.22414165 10.22414165 11.78531665 11.78531665 10.695725 10.20673335 9.0128 9.9978 11.288 11.288 11.288 10.869 10.869 9.206 8.7691 8.7691 8.7691 8.8908 8.8908 8.2239 8.4496 8.4496 8.7716 8.7716 8.5917 8.7195 8.3308 9.0954 12.605 9.3021 9.3021 10.604 10.604 9.1525 9.6242 8.5932 8.9239 9.9814 8.5438 8.5438 8.9984 8.0207 8.0207 8.7636 10.5889333333333 9.1734 10.9126222333333 9.5557889 9.17206666666667 9.42976666666667 8.0778333 8.0778333 8.0778333 8.9984 8.9984 8.9984 12.397 12.397 12.31 12.31 12.493 12.493 9.73343333333333 9.87603333333333 10.8488333333333 9.23312 10.8192 10.7685666666667 8.83405 8.56425 12.456 9.34855 8.83675
G51 7.68519165 7.68885 7.6593 7.78275 7.881525 9.9101 7.59666666666667 7.411775 7.73401666666667 7.50910835 7.7781 7.8198 7.92950335 7.9761 7.72374 7.905625 7.74886666666667 7.75663335 7.61665 7.763485 7.345875 7.60687776666667 7.34235 7.8176667 7.8091333 7.72525 7.68124334 7.7713 7.65792668 7.72635 7.8676 7.5689 7.8103667 7.45216666666667 7.9109333 7.9201333 7.81056665 7.70721665 7.9867889 7.76222 7.63006 7.568 7.61674 7.59436834 7.6208 7.5881 8.0162 7.9267333 7.59753333333333 7.65328333333333 7.65348333333333 7.74743333333333 7.97536666666667 7.96676666666667 7.7597 7.7597 7.7597 7.7597 7.573575 7.573575 7.573575 7.573575 7.6713625 7.6713625 7.6713625 7.3105 7.3105 7.54795 7.39836665 7.315925 7.69375 7.8543 7.8543 7.8543 7.9174 7.9174 8.0803333 7.94655 7.94655 7.94655 7.8858 7.8858 8.0167 7.0788 7.0788 7.4934 7.4934 7.9614 7.3947 7.652 7.3295 7.6437 7.5225 7.5225 8.0399 8.0399 7.4576 7.4894 7.7501 7.5975 7.6848 7.6682 7.6682 7.8922 7.7568 7.7568 7.8816 7.72773333333333 7.7078 7.58547776666667 7.41223333333333 7.89527776666667 8.4342 7.763 7.763 7.763 7.9995 7.9995 7.9995 7.9674 7.9674 8.1926 8.1926 8.1918 8.1918 7.78463333333333 7.52346666666667 7.4107 7.95364 8.14676666666667 7.87263333333333 7.91145 7.7571 7.3322 7.60995 7.58585
G52 8.93293335 8.55885 9.11231665 10.12501665 9.16665 7.7919 8.19713333333333 8.60525 8.54178333333333 9.76189165 8.20675 8.5161 9.09653665 9.4878 9.08412 9.646875 8.47297776666667 8.50541665 8.38125 8.52411 8.30155 8.81786666666667 8.3729 8.739 8.7273333 7.95271666666667 8.57669666 8.7262 8.65532666 8.42595 7.8732 8.8644 8.7582667 8.89353333333333 8.5615667 8.8783 8.7335833 8.417 8.6983 8.58052 8.72508 8.9591 8.80752 8.44161334 8.591 8.7446 9.0065667 9.0829667 9.08883333333333 9.17195 8.82545 8.23956666666667 7.97706666666667 8.85526666666667 8.56163335 8.56163335 8.56163335 8.56163335 8.5941 8.5941 8.5941 8.5941 8.76345835 8.76345835 8.76345835 8.73543335 8.73543335 8.76675 8.55071665 8.576975 9.38188335 8.1476 8.1476 8.1476 8.6542 8.6542 8.5665 8.6556 8.6556 8.6556 9.3597 9.3597 7.9422 8.8895 8.8895 8.4182 8.4182 7.9612 8.5091 7.9663 8.426 7.7516 8.3972 8.3972 8.0755 8.0755 8.976 8.7749 8.9821 9.0013 8.7837 8.8792 8.8792 9.3666 8.8498 8.8498 9.2117 8.8782 8.77176666666667 8.6878 8.31985556666667 8.82183333333333 9.31093333333333 8.0166667 8.0166667 8.0166667 8.2902 8.2902 8.2902 8.2154 8.2154 8.825 8.825 8.2595 8.2595 8.01316666666667 9.075 8.4283 8.67908 8.59666666666667 9.26003333333333 9.22915 9.03315 8.7393 8.85545 8.87775
G53 9.49700835 9.53563333333333 9.47501665 9.8464 10.026225 9.5272 9.50308333333333 9.33335 9.73836666666667 10.02065835 9.3433 9.637 9.56003665 9.6752 8.81316 9.668325 9.2117111 9.9371 9.5159 9.28738 9.160125 9.86943333333333 9.43891665 9.9289667 9.2647333 8.99813333333333 10.17659666 10.063 9.59891334 9.5057 8.7577 9.26815 8.9573333 9.44276666666667 8.9613333 9.2032333 9.3356167 9.7271 9.3998 9.20238 9.57154 9.184 9.50176 9.56599666 9.20115 9.2643 9.2064333 9.4270333 9.66776666666667 9.5669 9.53123333333333 9.33033333333333 9.2407 9.31203333333333 9.28163335 9.28163335 9.28163335 9.28163335 9.1145 9.1145 9.1145 9.1145 9.30869585 9.30869585 9.30869585 8.79438335 8.79438335 9.6579 9.86171665 9.977775 9.51486665 9.625 9.625 9.625 9.61955 9.61955 9.4274333 9.91815 9.91815 9.91815 9.2069 9.2069 9.0696 9.982 9.982 9.2837 9.2837 9.2315 9.422 9.0067 9.4373 9.123 9.1269 9.1269 9.3806 9.3806 9.5116 9.4451 9.6931 9.2454 9.582 9.4025 9.4025 9.6282 9.5848 9.5848 9.6108 9.3643 9.35833333333333 9.27276666666667 9.2720111 9.5993111 9.02316666666667 9.0256667 9.0256667 9.0256667 9.1665 9.1665 9.1665 9.8104 9.8104 9.1968 9.1968 10.001 10.001 9.0661 9.87036666666667 9.5394 9.3009 8.95106666666667 9.19843333333333 9.9067 9.05895 9.12435 10.4035 9.37595
G54 8.09931665 8.4446 8.02915 8.119075 8.131575 8.9487 8.84545 8.22696665 8.31751666666667 8.31443335 8.78435 8.6909 8.55867335 8.4434 8.45256 8.332325 8.4375 7.98488335 8.56385 8.513125 8.002775 8.0196 8.47958335 8.2723333 8.0230333 8.46551666666667 8.25585334 8.1551 8.39827998 8.1681 8.2454 8.1564 8.1453 8.0272 8.0917 8.0889 8.04053335 8.20513335 8.6620889 8.31558 8.3087 8.8269 8.23028 8.47388 8.0091 8.4296 8.2677667 8.4508 8.3432 8.17311666666667 8.311 8.2861 8.2105 8.22003333333333 8.03431665 8.03431665 8.03431665 8.03431665 8.209825 8.209825 8.209825 8.209825 8.12219165 8.12219165 8.12219165 8.11103335 8.11103335 8.0265 8.58971665 8.36045 8.34076665 8.4015 8.4015 8.4015 8.5266 8.5266 8.6185 8.01765 8.01765 8.01765 8.4852 8.4852 8.4229 7.9081 7.9081 8.275 8.275 8.5397 8.7256 8.4524 8.4508 8.0992 8.7531 8.7531 8.8993 8.8993 8.0637 7.9009 8.004 8.0088 8.1476 8.1035 8.1035 8.024 8.2715 8.2715 8.094 8.4182 8.28043333333333 8.12323333333333 8.26287776666667 8.22667776666667 10.2595333333333 9.1877667 9.1877667 9.1877667 8.4253 8.4253 8.4253 8.1974 8.1974 7.8969 7.8969 7.7432 7.7432 8.4415 8.18333333333333 8.53033333333333 8.39498 8.50723333333333 8.1082 8.1048 7.81025 8.37255 8.1412 7.99035
G55 11.75258335 11.339 11.2065 11.44283335 11.22225 11.67 10.6292666666667 10.31311665 11.0791666666667 11.33775 10.61435 11.657 11.0374 11.956 11.2686 11.12125 11.2677777666667 11.4 10.23445 11.98175 10.44475 11.2714222333333 10.07991665 11.7493333 11.623 10.5961333333333 11.44921334 12.213 11.97220002 11.3985 9.8877 11.656 11.5536667 11.878 11.564 11.772 11.70466665 10.93316665 10.8185555666667 11.04232 11.9324 12.089 11.7948 11.33092334 11.3935 12.124 11.786 11.598 10.951 11.2608333333333 11.548 12.9353333333333 11.9053333333333 11.2743333333333 11.802 11.802 11.802 11.802 11.374 11.374 11.374 11.374 11.14958335 11.14958335 11.14958335 11.45916665 11.45916665 11.756 9.99433335 11.2995 12.5263333 11.3995 11.3995 11.3995 11.6925 11.6925 11.3043333 10.05425 10.05425 10.05425 11.551 11.551 10.09 10.939 10.939 9.4102 9.4102 9.7845 10.693 11.992 10.338 11.945 9.4825 9.4825 9.6268 9.6268 12.066 11.731 12.167 11.833 11.986 11.906 11.906 10.874 11.781 11.781 10.8 11.78 11.885 11.5783333333333 11.6837778 11.2281111 10.6816 9.1815667 9.1815667 9.1815667 11.115 11.115 11.115 11.19 11.19 11.574 11.574 11.721 11.721 10.9390666666667 11.5843333333333 11.6423333333333 11.3124 11.318 11.6583333333333 11.2615 11.9 11.2135 11.789 11.873
G56 4.77540835 4.59228333333333 5.18868335 4.45155 4.580575 5.7137 5.3772 4.72778335 4.76728333333333 4.630925 5.031075 4.7517 4.38977665 4.5085 4.54336 4.484425 4.98255556666667 4.78536665 4.7686 4.46791 5.76695 4.97767776666667 4.91841665 4.2967333 4.2543667 5.65901666666667 4.93342 4.5965 4.74352 4.55745 5.6899 5.0296 4.2642667 4.19473333333333 4.2109333 4.2986333 4.3131 4.51243335 4.44346666666667 4.5122 4.77542 4.9386 4.56498 4.56244 4.44465 4.6316 4.4232667 4.2531 4.87863333333333 4.6872 4.53991666666667 4.4253 4.3675 4.1901 4.34818335 4.34818335 4.34818335 4.34818335 5.147325 5.147325 5.147325 5.147325 4.9465 4.9465 4.9465 5.16888335 5.16888335 4.886575 4.97416665 5.47285 4.4976 4.3691 4.3691 4.3691 4.52475 4.52475 4.3974333 6.0848 6.0848 6.0848 4.2631 4.2631 5.6335 4.8956 4.8956 4.9072 4.9072 4.9371 4.8642 5.5196 4.9997 4.8552 4.6718 4.6718 5.0795 5.0795 4.6562 4.2378 4.6636 4.2597 4.3413 4.4686 4.4686 4.2983 4.3517 4.3517 4.4307 4.37723333333333 4.39216666666667 4.49325556666667 4.65374443333333 4.44793333333333 4.85496666666667 6.2915333 6.2915333 6.2915333 4.4831 4.4831 4.4831 4.1916 4.1916 4.3329 4.3329 4.5199 4.5199 5.07996666666667 4.41786666666667 5.02846666666667 4.8251 4.5085 4.50056666666667 4.37235 4.2808 4.2872 4.9312 4.29995
G57 7.52679165 8.0265 7.33705 6.99549165 7.6231 9.8113 8.16783333333333 7.4849 8.16613333333333 7.78480835 8.280275 8.7475 8.26396665 8.9157 9.14638 7.790875 8.7175889 7.47973335 7.7832 9.29421 7.575075 7.8722 8.24418335 8.6748667 8.8750667 8.75645 8.16189666 9.1879 8.91358 8.57105 8.2239 7.39985 8.6152667 8.0292 8.7185333 8.7339 8.72315 7.7996 8.22764443333333 7.9719 8.87238 8.5695 8.7182 8.05328 8.5492 9.0898 8.8947333 8.7444667 8.25456666666667 8.47128333333333 8.38336666666667 9.17486666666667 9.1774 8.78403333333333 8.50096665 8.50096665 8.50096665 8.50096665 8.2093 8.2093 8.2093 8.2093 7.9724 7.9724 7.9724 8.40558335 8.40558335 8.8942 8.08106665 7.852775 8.6734333 8.078 8.078 8.078 8.08175 8.08175 8.4524 8.0997 8.0997 8.0997 8.7037 8.7037 7.8282 8.1378 8.1378 7.5981 7.5981 7.6625 7.6469 8.2296 7.5443 9.2494 7.4836 7.4836 7.5132 7.5132 7.8377 7.6205 8.1098 8.1046 7.8241 7.6492 7.6492 8.0733 8.3904 8.3904 8.5744 8.7109 8.9661 8.64184443333333 9.08114443333333 8.55072223333333 9.1927 7.6771333 7.6771333 7.6771333 8.3743 8.3743 8.3743 8.5444 8.5444 8.7267 8.7267 8.7711 8.7711 8.0292 7.83903333333333 8.26836666666667 8.81448 9.66076666666667 8.1201 8.7865 9.1091 9.7662 8.46175 8.3912
G58 8.6773 8.62805 8.63645 8.9538 9.024075 8.7651 8.2975 8.12585835 8.2643 8.449825 8.06765 8.9348 8.63123 8.9402 8.50372 8.983475 8.56483333333333 8.84231665 8.4615 8.371075 8.060875 8.3988889 8.45708335 9.0189333 8.9201 8.01621666666667 8.47048666 8.5279 8.83052 8.84825 7.8765 9.43835 8.7983 8.95476666666667 8.8728 8.984 8.9443167 8.74428335 8.09392223333333 8.4865 8.5555 8.5709 8.87502 8.74307334 8.47585 8.8411 9.1044333 8.9029667 8.7977 8.7755 8.70278333333333 8.19886666666667 8.40963333333333 9.50356666666667 8.92325 8.92325 8.92325 8.92325 8.23915 8.23915 8.23915 8.23915 8.62687915 8.62687915 8.62687915 8.43835 8.43835 8.5729 8.53425 8.409975 8.80795 8.61955 8.61955 8.61955 8.5184 8.5184 8.2838333 8.21225 8.21225 8.21225 8.9643 8.9643 7.6788 8.5635 8.5635 8.3189 8.3189 8.02 8.4619 8.6607 8.6027 9.0039 8.3501 8.3501 8.465 8.465 9.3026 9.2985 9.5095 9.5957 9.3302 8.803 8.803 9.0512 8.5472 8.5472 8.6746 8.3419 8.37073333333333 8.85646666666667 9.09575553333334 8.86024443333333 9.0622 8.2939333 8.2939333 8.2939333 8.7965 8.7965 8.7965 9.0743 9.0743 9.4295 9.4295 9.4075 9.4075 8.3534 9.03356666666667 8.45783333333333 9.22148 9.64153333333333 8.8849 9.15635 8.9992 8.6985 8.6566 8.92225
G59 7.65201665 8.04161666666667 7.3276 7.55313335 7.868375 8.1017 7.6835 7.98444165 7.73613333333333 7.654525 7.851925 8.0376 8.12216 8.1619 7.87384 7.840375 7.99372223333333 7.56745 7.8893 7.686065 7.54965 7.49705556666667 7.81636665 7.8046667 7.6365333 7.52696666666667 7.71920666 7.8466 7.93315332 7.81865 7.575 8.2041 7.5897333 7.75503333333333 7.7292667 7.8341333 7.8024667 7.72466665 7.68226666666667 7.85146 7.77968 8.0361 7.80612 7.89954666 7.92065 7.775 7.7328 7.7012333 7.92773333333333 7.82741666666667 7.81471666666667 7.81403333333333 7.59173333333333 7.90796666666667 7.95793335 7.95793335 7.95793335 7.95793335 7.402025 7.402025 7.402025 7.402025 7.49669165 7.49669165 7.49669165 7.57291665 7.57291665 7.656525 7.8609 7.437925 7.87136665 8.0528 8.0528 8.0528 8.0308 8.0308 8.0297333 7.16805 7.16805 7.16805 8.2636 8.2636 7.4505 7.7082 7.7082 7.7246 7.7246 7.8942 7.9307 7.3934 7.831 7.3678 8.098 8.098 8.0105 8.0105 7.6605 7.5542 7.5985 7.744 7.6693 7.6868 7.6868 7.8875 7.9741 7.9741 7.9414 7.95246666666667 7.81613333333333 7.8123 7.95357776666667 7.8194 8.27796666666667 7.7459333 7.7459333 7.7459333 8.3066 8.3066 8.3066 8.13 8.13 8.0158 8.0158 7.7283 7.7283 7.5428 7.7636 7.6825 7.82436 7.843 7.65806666666667 7.8651 7.5254 7.66635 7.56675 7.63275
