G16	G1195	G1540	G1618	G1559	G1041	G1306	G187	G931	G824	G397	G99	G1322	G1466	G658	G992	G784	G672	G1477	G1206	G1357	G1369	G1266	G1621	G1397	G703	G1050	G949	G923	G1107	G129	G99	G120	G31	G128	G129	G126
0.1157232	0.4624189	0.0260093	0.1930745	0.1507599	0.3074871	0.8651924	1.0092099	1.1591119	1.0328683	0.9327631	1.1564556	0.1710669	0.2707004	0.1891418	0.4178433	0.2023654	0.9833624	0.4430136	0.8652701	0.2103377	1.1238186	0.0913482	0.5331608	0.7570009	0.9995101	0.9445423	0.1261772	0.8970867	0.3535563	0.3573680	1.1564556	0.5312978	0.6500715	0.5734090	0.3573680	0.7602721
0.1891469	0.4382669	0.0747856	0.1389645	0.2270937	0.2902121	0.9824911	0.9509005	0.9464008	1.0038585	0.9985568	1.1418114	0.3034722	0.2994137	0.3613164	0.4694509	0.1884607	0.9271445	0.4270473	1.0029604	0.4149698	0.9874983	0.0386603	0.7434677	0.7247458	1.0827155	0.8327538	0.1449539	1.1888152	0.2705751	0.3117260	1.1418114	0.5452222	0.6680133	0.9138066	0.3117260	0.8272678
0.2872087	0.0663219	0.1251857	0.8371225	0.1336024	0.9213497	0.9480435	0.8783859	0.7273173	0.9252122	0.8349012	0.6544720	0.2409314	0.0666358	0.2090232	0.4261537	0.2460145	1.0225084	0.6837537	0.5944357	0.1410755	0.4749021	0.3096191	0.8190202	0.6320435	0.9613348	1.0329727	0.5183311	1.1990619	0.0844099	0.9860764	0.6544720	0.5111025	0.9337000	0.9723421	0.9860764	0.7146574
0.2174809	0.0997089	0.0979645	0.5552980	0.0964618	1.0311852	0.9100449	0.8451042	0.7067638	0.8881111	0.9414981	0.7177908	0.2505867	0.1012584	0.2071725	0.4713227	0.2262377	1.1715157	0.8435463	0.6895160	0.1473523	0.6407537	0.2937142	0.6640689	0.5756500	0.6972452	0.8307089	0.6269512	0.8357063	0.0642746	0.7347085	0.7177908	0.7267244	1.1812512	1.1883850	0.7347085	0.8303789
0.2407070	0.1851082	0.1642512	0.7285664	0.1340447	0.7935272	0.9577766	1.1283834	0.6601540	1.0534435	0.9361900	0.7710407	0.2246207	0.0809451	0.2163605	0.4109126	0.1855971	0.9273373	0.7512451	0.4934817	0.1612757	0.5140694	0.2621207	0.9738908	0.5727582	0.7911455	0.7938490	0.8312790	1.2111467	0.1012433	0.6851943	0.7710407	0.5129786	0.9305149	1.0920739	0.6851943	0.9432304
0.4946718	0.3095235	0.9526989	0.1467773	0.6975255	0.0600511	0.6626872	0.9526409	0.3762273	0.9331438	0.9525665	0.9355989	0.9057952	0.2109584	0.0640641	0.4792682	0.1484065	0.9463303	0.8981429	0.8192948	0.3228140	0.9906389	0.1173557	0.7775753	0.4951736	0.9656629	0.9802117	0.7271195	1.0340268	0.1053702	0.1484941	0.9355989	0.6337199	0.8663119	1.0133565	0.1484941	0.9783897
0.4980745	0.2864185	0.8138999	0.1145291	0.6331505	0.0433625	0.7041310	1.0633858	0.5571928	0.8782802	0.8289919	1.0744378	0.7674249	0.2393746	0.0921057	0.3438720	0.2653715	1.0846976	0.8119905	0.6689008	0.2797994	0.8990480	0.1718835	0.7531819	0.4745501	1.2056880	1.1064260	0.5782719	1.1280148	0.0868079	0.1572865	1.0744378	0.6899516	0.9094907	0.8986238	0.1572865	0.9575949
0.1009592	0.2107861	0.9009189	0.5359764	0.8744001	0.4148795	0.8496300	0.8989889	0.3051457	0.9612955	0.7716960	0.7501335	0.7471040	0.5554428	0.2740719	0.2923030	0.5878660	1.0219211	0.7745500	0.7286887	0.6978535	0.9415474	0.3463909	0.8934165	0.3027150	0.9418966	1.0284155	1.1203897	1.2482568	0.0260494	0.5644883	0.7501335	0.4077139	1.0231978	0.7754280	0.5644883	1.0173270
0.1045273	0.1585292	1.0369547	0.5294072	0.8268105	0.3004786	0.8197140	0.9912580	0.2502189	1.0242757	1.1059318	0.6926315	0.7048945	0.4717059	0.2301321	0.4196840	0.4735134	0.9787168	0.7515336	0.7136119	0.8037578	0.9080030	0.2318475	0.6744691	0.3923879	0.9135636	1.1586213	1.0955500	0.9122495	0.0228827	0.5909970	0.6926315	0.4230729	0.7789428	0.9813087	0.5909970	0.8720299
0.1536670	0.1505828	0.3650657	0.7417191	0.0217415	0.6590547	0.7811485	0.8590400	0.3564419	0.9480945	0.8221232	0.5581210	0.2440582	0.0174420	0.0035819	0.5950825	0.1621014	0.8875120	0.8212993	1.0304497	0.2010913	0.8116262	0.2018681	0.8390162	0.5493940	0.8870073	1.0593012	0.4125953	0.7099132	0.0766796	0.7090414	0.5581210	0.7118447	0.6747243	0.5931661	0.7090414	0.6656727
0.1776878	0.1750631	0.1665888	0.2561301	0.6912570	0.2378602	0.9043340	0.6410279	0.5706304	0.9801274	0.6329302	1.1704701	0.0012570	0.5449315	0.1559139	0.4425689	0.5455478	0.8030951	0.6776316	0.9694857	0.2821262	0.6106210	0.0435660	0.8454079	0.5799961	1.1229570	0.6638191	0.3845791	0.8563037	0.0442676	0.0709809	1.1704701	0.5157686	0.8201664	0.7330413	0.0709809	0.4195628
0.1462553	0.2019312	0.1028835	0.2192204	0.8081287	0.0672389	0.7804108	0.6591859	0.6125856	0.9920165	0.5702300	0.8868468	0.0000549	0.5594272	0.2651224	0.4536408	0.5569560	0.2462795	0.7390692	1.0509025	0.2440995	0.6056848	0.0271020	0.6958926	0.4921322	1.0677321	0.6301814	0.2732893	0.8687755	0.0695524	0.0443981	0.8868468	0.5149687	0.9100307	0.7378048	0.0443981	0.5790354
0.0045538	0.0015990	0.1975911	0.2155741	0.1397295	0.9761396	0.6361378	0.1204430	0.6990417	0.8640092	0.4843645	0.6956473	0.1679780	0.4070839	0.0006370	0.1244336	0.6646003	0.0013766	0.2717920	0.9057887	0.0343517	0.2127861	0.1344824	0.8319492	0.2465363	0.6519814	0.4074859	0.0491989	1.0655153	0.3316512	0.2488883	0.6956473	0.9058255	0.3037573	0.5007905	0.2488883	0.1414696
0.0752634	0.0060888	0.0391291	0.7880582	0.1130000	0.3695032	0.8620328	0.1247767	0.8993638	1.0642221	0.6404911	0.1865652	0.3830905	0.2110579	0.1134316	0.3271313	0.1005458	0.0034642	0.4814636	0.9266299	0.1855761	0.4572838	0.1854232	0.7388560	0.4974746	0.7662165	0.0334303	0.0372234	0.9593574	0.0156544	0.8938192	0.1865652	0.8948932	0.1860111	0.4663778	0.8938192	0.1336549
0.0626880	0.0034033	0.0988433	0.6514968	0.1813478	0.3676818	1.0526478	0.0621448	1.1398614	0.9848372	0.5368039	0.1733891	0.5205547	0.3255503	0.0838886	0.2578501	0.1420367	0.0020878	0.4953199	1.0300024	0.1561884	0.3879069	0.3076041	0.6968042	0.5160319	0.7696793	0.0184089	0.0494364	0.9435338	0.0039226	0.7505385	0.1733891	0.9164223	0.2713686	0.4867141	0.7505385	0.1649203
0.3675139	0.0067830	0.2239829	0.3868204	0.3316285	0.1689514	0.7394406	0.6163475	0.6543325	0.8596986	0.9428359	0.7881805	0.1115681	0.1521629	0.0099792	0.0027474	0.3138304	0.4963265	0.7036622	0.6227165	0.0868320	0.8092347	0.0273108	0.6220061	0.1009105	0.8629210	0.7800900	0.6025034	0.9872619	0.1090278	0.4530791	0.7881805	0.6865453	0.9996789	0.9006152	0.4530791	0.5331559
0.3391769	0.0055843	0.3282025	0.3825130	0.3956554	0.0636265	0.7817136	0.8045188	0.6957088	0.9347212	0.8044027	0.9174011	0.1036668	0.1465781	0.0011245	0.0017618	0.3103316	0.5132164	0.9839183	0.7513109	0.1855464	0.8267995	0.0446438	1.0558317	0.1234320	0.9082353	0.9186429	0.4324394	0.9901560	0.1107516	0.4404030	0.9174011	0.6229771	0.8598240	0.9620737	0.4404030	0.6499952
0.5294328	0.1648040	0.0489165	0.2175896	0.1804751	0.9783100	0.8147740	0.3561248	0.5744851	0.9898689	0.5845092	0.6403495	0.2693472	0.8435027	0.4644089	0.3776389	0.2053971	0.0975448	0.5178602	0.7687946	0.0580402	0.6467872	0.0020090	0.7381766	0.5425352	0.6956856	0.5451639	0.1485494	0.9988511	0.0230686	0.1939908	0.6403495	0.7878424	0.6439521	0.5727669	0.1939908	0.4922091
0.3972272	0.1899241	0.0369088	0.2978362	0.1922903	0.6306011	0.9059471	0.3939377	0.4574289	0.9827137	0.5727473	0.6790157	0.3412081	0.7319295	0.4973992	0.3210519	0.1458641	0.1562108	0.5608444	0.9982813	0.0651475	0.6585126	0.0056162	0.7810023	0.5548065	0.7262166	0.5836912	0.1770513	1.0333866	0.0097371	0.2593714	0.6790157	0.9298679	0.3534906	0.7480255	0.2593714	0.3805011
0.3202205	0.1324809	0.9441298	0.5607443	0.8412464	0.2769971	0.7428317	1.1485349	0.9505584	1.1410506	0.9655909	0.9343434	0.8359954	0.1648554	0.1220030	0.3837174	0.5246363	0.9631844	0.4609739	0.3482219	0.8855502	0.8816710	0.4510540	1.1092223	0.6229797	1.2237402	0.8522986	1.1964939	0.9446114	0.0691699	0.5248992	0.9343434	0.7508126	0.9921838	1.0285089	0.5248992	1.0143346
0.3505534	0.1838299	0.7946299	0.7960535	0.8700360	0.6269537	0.7027446	0.8467056	0.9441619	0.9750181	0.9673054	0.7919814	0.7566704	0.1156198	0.0689286	0.5977915	0.5011230	0.8641125	0.4553817	0.3851291	1.0632944	0.7320852	0.3372718	1.0352761	0.4752225	1.1404548	0.9255736	0.9249188	1.0438804	0.1120905	0.6760452	0.7919814	0.7268936	0.8047568	1.0623672	0.6760452	0.9577203
0.3514933	0.2102202	1.0059823	0.6583830	0.7901833	0.3323880	0.7406059	0.9589242	1.0691674	0.9944049	0.8314766	0.8005517	0.6707744	0.0977913	0.1146234	0.3249426	0.6466580	0.7866431	0.4739036	0.3534702	0.6988533	0.9019270	0.3893887	1.0039509	0.6149200	0.9587208	0.9513206	0.8330885	0.9952222	0.1344529	0.6706709	0.8005517	0.7613028	0.8937591	0.9103050	0.6706709	0.8809392
0.5044254	0.5280393	1.0570625	0.9760860	0.4783848	0.9312503	0.9513394	0.8634504	0.4733804	1.0463860	0.7473652	0.5473383	0.5721940	0.0496673	0.0037414	0.4581960	0.7490938	0.8977081	0.5933849	0.6219481	0.8633810	0.7216118	0.2981786	0.6334900	0.2839251	0.8559455	0.9537052	1.0697911	0.9902311	0.1211295	0.8058962	0.5473383	0.6418138	0.8822063	0.9275222	0.8058962	0.7730926
0.5804819	0.3933083	0.7775173	0.6959280	0.4266106	0.7574496	0.8584068	0.7545315	0.3642233	0.8746102	0.7414618	0.6737405	0.5272015	0.0215141	0.0036825	0.4976799	0.6292895	0.9646787	0.6408379	0.5618210	0.6447902	0.7271816	0.2758655	0.5692901	0.4180152	0.8133249	0.9326062	0.8703995	0.9923822	0.1490016	1.1120730	0.6737405	0.5946013	0.8096074	1.1134162	1.1120730	0.8699786
0.2664574	0.1070000	0.4053440	0.6502149	0.2855552	0.5381176	0.8685482	0.7566688	0.8785184	0.9393549	0.8014790	0.3685740	0.1692178	0.2735836	0.0650869	0.2716111	0.2602502	0.7941881	0.9756150	0.5184701	0.1633782	0.8277516	0.1410030	0.6780862	0.6310728	1.0459532	1.0296333	0.6095813	1.0772649	0.1191066	0.6396015	0.3685740	0.6271503	0.9750953	1.2573675	0.6396015	0.6555339
0.0001843	0.0007426	0.1977179	0.9483041	0.3705763	0.7515477	0.9016447	0.2065289	0.6159909	0.8179310	0.4849035	0.0376073	0.0153103	0.5491373	0.1028479	0.3387454	0.4689859	0.0408457	0.9547891	0.4549640	0.1245875	0.5664776	0.0041525	0.7199499	0.6943915	0.8997929	0.6034893	0.1294657	0.8744127	0.4025963	0.7056162	0.0376073	0.8515946	0.8358241	0.9289693	0.7056162	0.2448724
0.0001481	0.0072695	0.0522865	0.2896247	0.1380221	0.8771860	1.1028525	0.7919454	0.3539997	0.9312523	0.7600245	0.0359820	0.2270127	0.7268724	0.3877760	0.1292348	0.1290111	0.0012321	0.5444460	0.9512437	0.0253080	0.6665092	0.1437470	0.8548601	0.3663956	0.7364825	0.3148012	0.0560300	1.1238646	0.2532642	0.3501883	0.0359820	0.8252302	0.8448431	0.9145405	0.3501883	0.1142383
0.0005837	0.0026782	0.0853963	0.3082764	0.2096564	0.9860999	1.1488354	0.6376422	0.3504058	0.8646159	0.6965246	0.0659352	0.2079986	0.6335397	0.2871083	0.2353498	0.1428303	0.0001216	0.5167039	1.1575431	0.0170328	0.5706729	0.1607150	0.7613730	0.4889203	0.6803029	0.2126321	0.0591675	1.1636796	0.1745830	0.5069565	0.0659352	1.0223396	0.7834353	0.9887942	0.5069565	0.1134179
0.2633564	0.4829934	0.7809663	0.1605585	0.5152296	0.4134975	0.9632894	0.9476827	1.0797123	1.0093108	1.0247487	0.9546921	0.1731698	0.0754267	0.0201207	0.2665194	0.6010719	1.1661528	0.6307855	0.9466368	0.1604523	0.9330625	0.1793446	0.0179359	0.2665542	0.8869418	0.7504226	0.6059911	1.0434387	0.2880234	0.6652021	0.9546921	0.8134639	0.6274622	0.7256523	0.6652021	0.9612184
0.3887417	0.3868371	0.8399633	0.1921925	0.6132685	0.5560504	0.7839745	0.9843362	0.8836990	1.0525122	1.2826685	0.8831058	0.1554219	0.0944163	0.0187639	0.2204942	0.5836889	1.0789806	0.7799342	0.8320638	0.1382058	1.0198336	0.2665357	0.0117881	0.3747037	0.9876903	1.1902337	0.5094590	0.9340881	0.3363359	0.5204177	0.8831058	1.0536474	0.6331169	0.6897367	0.5204177	1.1640224
0.0217446	0.1888917	0.3776346	0.5144691	0.7449904	0.5154180	0.5974055	0.3923004	0.6360855	0.9222360	1.0225884	0.2743638	0.2413479	0.7958843	0.6397813	0.3028045	0.0747706	0.1883029	0.5063210	1.0139379	0.3272091	0.5183467	0.4780549	0.7431124	0.1587040	1.0682707	0.6573456	0.0054388	0.9622619	0.3627585	0.4284524	0.2743638	0.8022726	0.7179954	0.7019066	0.4284524	0.2847531
0.0336695	0.1697499	0.4355321	0.7429546	0.8676608	0.3999511	0.7508550	0.2856665	0.4426114	1.0511871	0.9661112	0.1501707	0.1014977	1.0197280	0.6511964	0.3104075	0.0480861	0.1790763	0.7282543	1.2259146	0.2843516	0.3540363	0.5200875	0.6729562	0.1371128	0.9668165	0.5614315	0.0076516	0.9791955	0.4133464	0.3994745	0.1501707	0.9669177	0.4732717	0.6431359	0.3994745	0.4249918
0.0402433	0.2515582	0.3438079	0.4090062	0.6264773	0.5770135	0.5136897	0.3926099	0.4883607	0.9079404	0.9247373	0.2530280	0.1928708	0.8790956	0.6405625	0.2838992	0.1001168	0.1240604	0.6144848	1.0048566	0.2339936	0.4613345	0.4698190	0.6930770	0.1300343	0.9311326	0.5154819	0.0023030	0.8731122	0.4053367	0.5251323	0.2530280	0.9119582	0.5743377	0.8216212	0.5251323	0.2731667
0.1832526	0.0026994	0.1203725	0.3581296	0.2033092	0.9628088	0.7999332	0.0185705	0.7639838	1.0416443	0.6600661	0.2351510	0.3061247	0.7966976	0.0047664	0.3575628	0.2649068	0.0406201	0.5568489	0.9587196	0.0168835	0.2125563	0.0055898	0.8819567	0.6685320	0.8652958	0.3863585	0.1233417	0.9105701	0.0546866	0.3719453	0.2351510	0.5268294	0.3304074	0.6550493	0.3719453	0.0830730
0.2056763	0.0133507	0.1408913	0.3242886	0.2349589	0.9777485	1.0358689	0.1123979	0.8015756	0.9104763	0.4636720	0.4144211	0.3260937	0.6567688	0.0118892	0.4154047	0.2289498	0.0514178	0.6712142	0.8998665	0.0236044	0.2650819	0.0058119	0.7629312	0.6553674	0.7565799	0.3224793	0.1065956	0.9220210	0.0342077	0.4290736	0.4144211	0.5182599	0.2927727	0.4358410	0.4290736	0.1923731
0.0255256	0.0668265	0.4024849	0.7067532	0.1279524	0.6744821	0.8833780	0.6082419	0.5987375	1.0067404	0.7742688	0.2593777	0.1898550	0.2535595	0.0630051	0.3925201	0.2195047	0.6022118	0.8432324	0.8435574	0.1193266	0.9691401	0.1089613	0.7236647	0.4563928	1.0664395	0.6981459	0.6089379	0.8270681	0.0807832	0.6548918	0.2593777	0.9472593	0.6880137	1.0482300	0.6548918	0.4257226
0.2816081	0.1220309	0.4733022	0.4577227	0.1347311	0.3695759	0.8053853	0.9997576	0.7619209	1.0083077	0.6356824	0.2556138	0.2592820	0.2803683	0.0242450	0.3876199	0.3268132	0.8864621	0.8658258	0.8487615	0.1275749	0.7900521	0.5033560	0.7452625	0.5950543	0.9233328	0.7706045	0.5762272	0.8567412	0.5258217	0.4630075	0.2556138	0.6133300	0.7229898	0.8526923	0.4630075	0.6708918
0.0256203	0.0502744	0.1849759	0.4891049	0.4107283	0.9643860	0.7660640	0.4752042	0.4508460	0.8835177	0.5747242	0.4563282	0.2437447	0.4557840	0.0558983	0.2729067	0.6172690	0.4509400	0.9703743	0.6639957	0.0450653	0.8302185	0.2207989	0.7585169	0.3725240	0.9528108	0.5497312	0.2337957	0.8483460	0.4238817	0.5531485	0.4563282	0.4747734	0.8625862	0.9737148	0.5531485	0.3240171
0.0530793	0.0418563	0.1535744	0.2938207	0.3653200	0.9598654	0.5859763	0.4549753	0.5296718	0.8396189	0.6416063	0.4796677	0.2845526	0.5567057	0.0900783	0.3937969	0.7294567	0.3691313	0.9183919	0.7739314	0.0944701	0.6869336	0.3106601	0.6974991	0.4834587	0.8520585	0.5253451	0.2210073	1.0581601	0.4213212	0.5280302	0.4796677	0.4128078	0.8572915	0.9238300	0.5280302	0.4108007
0.0165872	0.0526354	0.1753901	0.3296464	0.3549575	0.6582311	0.6681819	0.5147831	0.6148802	0.9659669	0.5528325	0.7658026	0.4742693	0.5810934	0.0310535	0.2185989	0.8186274	0.6328556	0.7636252	0.7291456	0.1378053	0.8265476	0.3197053	0.6709408	0.3412121	1.1091969	0.6974941	0.1201442	0.9440239	0.3821258	0.5639742	0.7658026	0.3721905	0.7808613	1.0418269	0.5639742	0.5767777
0.0733668	0.0660360	0.4017748	0.4459700	0.5317795	0.6155287	0.5118660	0.7652688	0.7702083	0.9255354	0.6607219	0.6108281	0.7187704	0.3835308	0.1040116	0.3349502	0.8031591	0.9014300	0.8331586	0.5734652	0.2815554	0.7406413	0.3252635	0.7604063	0.6237223	1.0242980	0.9483893	0.3624143	0.8704851	0.3867739	0.6418529	0.6108281	0.3423875	0.7881483	1.1074056	0.6418529	0.7709913
0.0554216	0.0607031	0.3928902	0.7010262	0.1141479	0.6328817	1.0244645	0.5943893	0.5598672	1.0319133	0.9465903	0.3126391	0.1832414	0.2723259	0.0552852	0.4763179	0.1537577	0.5599669	0.7429405	0.7670471	0.0939390	1.0058049	0.1102790	0.7729257	0.4537830	0.9935662	0.6624491	0.5039167	1.0729967	0.1341536	0.5778463	0.3126391	0.8966924	1.0998525	0.9727721	0.5778463	0.4275313
0.5371876	0.1577174	0.1938576	0.7412965	0.2854945	0.4648497	0.7216642	0.8404400	0.9644835	0.9552749	1.0258140	0.3051619	0.0079861	0.8300220	0.0201773	0.3701635	0.1927694	0.6426994	0.8354302	0.7650310	0.1678624	0.8214406	0.0824762	0.6993724	0.5641038	1.0515450	0.8188264	0.4124477	1.0520227	0.0901211	0.7188250	0.3051619	0.8485567	0.7015165	0.9939266	0.7188250	0.4209832
0.3718429	0.4402749	0.0739385	0.8216288	0.0306425	0.3599406	1.0358661	0.6093275	0.4768557	0.9890467	0.8921556	0.1310808	0.0483723	0.2816068	0.0448706	0.1896123	0.6118540	0.7524013	0.7972830	0.8238830	0.5500797	0.6825558	0.2444901	0.8188151	0.7266473	0.9052805	0.7075874	0.4063007	1.2241138	0.0319865	0.8656016	0.1310808	0.5267923	0.8580612	1.0543422	0.8656016	0.4993505
0.4009565	0.3938692	0.1522803	0.6638143	0.0473986	0.2838790	0.9715711	0.8490728	0.4509530	0.9457169	0.8814699	0.0816528	0.0440687	0.2664813	0.0282976	0.1749316	0.5932529	0.6416180	0.7832820	0.7770575	0.3740999	0.5404408	0.1190254	0.6445782	0.7037089	1.0229758	0.7827901	0.4942649	0.9825561	0.0761760	0.7725850	0.0816528	0.4769888	0.7222529	1.1691659	0.7725850	0.4164104
0.4984451	0.3913046	0.1192904	0.7604920	0.0230453	0.3631329	0.9250009	0.7333370	0.4472981	0.9781342	0.9507424	0.1269847	0.0634916	0.2808899	0.0109562	0.1611558	0.5854405	0.7801393	0.8865802	0.6484617	0.4386904	0.6640328	0.1957249	0.8616948	0.9992135	1.0250655	0.6053384	0.5846400	1.1859307	0.0318017	0.7660714	0.1269847	0.7071344	0.8858775	0.9267228	0.7660714	0.5009507
0.4505284	0.3089112	0.0908209	0.8610615	0.0261337	0.3527399	0.9723490	0.6335174	0.3969163	1.1267433	1.0043140	0.0469578	0.0406319	0.3896653	0.0177020	0.2051668	0.5887751	0.6551015	0.8774722	0.5056554	0.4797889	0.6630478	0.0873932	0.9196111	0.8445753	0.8860078	0.7809500	0.4936650	0.9767342	0.0231088	0.6683376	0.0469578	0.5139945	0.7945080	0.9386801	0.6683376	0.4399957
0.5650163	0.5052150	0.0540682	0.5077517	0.0037608	0.3831174	0.7915002	0.8152959	0.4131381	0.9597286	1.0881693	0.1099753	0.0797466	0.2247676	0.0103893	0.1641265	0.5464983	0.6803579	0.8572764	0.7320048	0.5245292	0.6899686	0.2289867	0.6458064	0.9171810	1.0201144	0.7915888	0.6198871	1.0066682	0.0223814	0.6599254	0.1099753	0.4922103	0.9755646	1.0544733	0.6599254	0.4830700
0.4513235	0.3962139	0.0525977	0.6559307	0.0257163	0.3243200	0.8047791	0.6468837	0.4663619	1.0240410	0.9455473	0.0581970	0.0309247	0.3623761	0.0304012	0.1128183	0.5876044	0.5434965	0.7714662	0.6275626	0.4525411	0.5037345	0.1389898	0.6935134	0.8021801	0.8163873	0.7826303	0.4490868	0.8813203	0.0218007	0.8507459	0.0581970	0.4520826	0.9098775	0.9551605	0.8507459	0.4433483
0.5190884	0.5561411	0.0181566	0.6629743	0.0068802	0.4294439	0.9272805	0.5942137	0.4691885	0.9793569	0.7840540	0.2504248	0.1364429	0.2555252	0.0054805	0.1103280	0.8725450	0.5208281	0.8372452	0.5004082	0.4647685	0.6077822	0.2178620	0.7644204	0.7140523	0.8983334	0.6603912	0.4248845	0.9827970	0.0244573	0.8147285	0.2504248	0.5209344	0.8642629	1.0319118	0.8147285	0.4296859
