G1241	G888	G1183	G365	G1250	G1432	G803	G28
0.0260067	0.1049870	0.8974868	0.6422219	0.9017094	0.1630766	0.2448478	0.6053212
0.0126308	0.0857964	0.9574559	0.6323105	0.9114298	0.1531055	0.2661981	0.7552524
0.0131198	0.1253233	1.1120591	0.5753937	0.8734875	0.2470417	0.1789630	0.6796031
0.0418940	0.1075694	0.9314200	0.5649916	1.0474860	0.1424465	0.2090880	0.6733239
0.0160421	0.1285113	1.2145669	0.5961145	1.0079934	0.1808400	0.1012281	0.8078708
0.0441233	0.0642666	1.0982915	0.6478234	0.7716979	0.2091240	0.2029856	0.6563423
0.0067071	0.1214870	1.1066244	0.7419567	0.8049853	0.0967911	0.2046300	0.5880637
0.0091493	0.0708533	1.0142118	0.6631333	0.9267891	0.2217820	0.2411483	0.7468466
0.0085440	0.1759325	1.0788182	0.6909236	0.9897704	0.2412690	0.2701216	0.5938945
0.1643671	0.1322244	0.9924616	0.7014882	1.0473950	0.4328063	0.2435606	1.0183991
0.1306744	0.1866616	0.9961136	0.8499355	0.8420763	0.3552021	0.1780427	1.1905411
0.2236767	0.1990062	1.0199659	0.7040251	0.8992515	0.3558487	0.2268334	1.0946306
0.2306159	0.2914395	1.0810323	0.6658696	1.1262673	0.3121208	0.2216254	1.0442217
0.2643840	0.6527599	0.9002591	0.6555744	1.0864328	0.5045711	0.1028408	0.8832301
0.3424974	0.5882374	1.1480105	0.6830926	1.0219384	0.4045287	0.2168609	0.7134547
0.4664471	0.7042727	0.9102000	0.5940854	1.1019670	0.4299529	0.1901332	0.6672520
0.5901897	0.5322823	0.9653688	0.4921705	0.9291655	0.3867983	0.1605260	0.6762500
0.4154803	0.7421852	1.0710336	0.6228191	0.9940095	0.4378104	0.1487693	0.6813240
0.4201024	0.7928828	0.9668066	0.5824126	0.7788911	0.3524723	0.1271776	0.6223804
0.4898538	0.7829011	0.9463670	0.5269123	1.1310790	0.4087219	0.1407220	0.6913846
0.5758243	0.9442285	0.9371357	0.6162174	0.8795349	0.5195892	0.1639150	0.6194021
0.4526998	0.7366320	0.8332308	0.4716108	1.1259045	0.4850900	0.2018341	0.7482903
0.5982068	0.9588017	1.0985086	0.6773380	0.8675753	0.3654667	0.1499092	0.6488960
0.5050804	0.7547057	0.9827582	0.6287929	1.0210520	0.4310192	0.1088725	0.7272691
0.5524881	0.8709464	0.9579956	0.5189657	0.8249766	0.3644465	0.1168533	0.6645221
0.0839180	0.2528515	1.0249523	0.6151103	0.9646771	0.4543106	0.3495088	1.1169632
0.0364198	0.8205471	1.0026870	0.6605603	0.7778725	0.5954634	0.1455055	1.0859399
0.0445011	0.5320856	1.0775313	0.7423334	0.9656542	0.3738005	0.3319342	0.9430551
0.0953115	0.7551507	1.0111033	0.8197301	0.9124551	0.3210415	0.3732345	0.9271790
0.0220617	0.3256068	0.8671661	0.5641877	0.5786267	0.5327342	0.0602709	1.0569277
0.0601105	0.3694971	1.1045579	0.7067528	0.7333736	0.4506444	0.0323008	0.9693541
0.0475415	0.2518964	1.0436321	0.5866700	0.6719494	0.5226384	0.0486815	0.9684778
0.0338327	0.2495145	1.1039501	0.4346733	0.5672338	0.7485874	0.0425398	0.9000743
0.0867797	0.2538119	0.9782185	0.5085581	0.4358734	0.5825072	0.0417031	0.8705249
0.0358522	0.1880361	1.2180499	0.6464185	0.6607301	0.3784671	0.0126204	1.0296122
0.0521684	0.2257121	0.9629136	0.6240643	0.5143644	0.3802756	0.0620902	0.7139267
0.0430635	0.1911999	1.0549032	0.5689098	0.5576433	0.5389134	0.0436656	0.8177871
0.0475874	0.2221355	0.9739925	0.5312113	0.7674838	0.3794223	0.0240727	0.9634568
0.0205253	0.3344255	0.8796173	0.6007488	0.7288584	0.4340881	0.0602887	0.8385697
0.0373191	0.2512380	0.8720412	0.5777661	0.3090716	0.4426064	0.0558092	0.8023328
0.0329369	0.2571708	1.0440342	0.4698257	0.3551455	0.4729744	0.0550374	0.8020825
0.0150062	0.2483240	0.7517964	0.6737499	0.3016103	0.4840750	0.0358255	0.9134349
0.0325880	0.2365728	0.9289176	0.7385495	0.3110825	0.4348951	0.0462302	0.9346506
0.0449442	0.2936412	0.8455913	0.6764349	0.3359242	0.4492916	0.0436572	1.0100847
0.2914622	0.3382604	0.9765000	0.8627328	0.7832836	0.3841871	0.1989554	0.9185416
0.1884119	0.5434312	0.8333222	0.7742564	1.0317245	0.4356801	0.2462058	0.9843218
0.0074077	0.5524407	0.9181133	0.6874597	1.0854721	0.0992036	0.3593183	0.8485212
0.0139738	0.4706803	0.9473075	0.7195046	0.9891349	0.1072084	0.4503723	0.9934376
0.0622721	0.2126260	1.3415961	0.5842358	1.2189229	0.9941065	0.3302217	0.4742352
0.0638424	0.1950689	1.0491873	0.5014714	1.0003820	1.1784705	0.2740490	0.2381273
0.0915228	0.1503520	1.1614705	0.5144128	1.0671525	0.9740432	0.2096272	0.3211659
0.0554660	0.3059426	0.9785895	0.4171456	0.7957239	0.9369992	0.2906528	0.4049682
0.0721151	0.5103560	1.0891218	0.4268987	0.6303750	0.9461989	0.1926040	0.3273677
0.0586349	0.2606651	0.9982423	0.5097705	0.6426235	0.9773260	0.2850758	0.3936072
0.0370674	0.0626248	1.0167655	0.6738203	0.5327306	0.2934556	0.6385568	0.9092462
0.0638789	0.1742383	1.1095798	0.6981480	0.6537403	0.3374691	0.5746604	0.8995338
0.0331692	0.1064272	1.0196612	0.8211973	0.3380460	0.2940087	0.6871809	1.0567820
0.0472000	0.0315260	0.9413064	0.8301941	0.3038644	0.3083659	0.5358518	1.0799246
0.2132841	0.8053919	1.1574113	0.8285612	1.1018165	0.6019219	0.2446846	0.9222109
0.2269248	0.6989841	0.9545818	0.7592051	0.9829470	0.4345943	0.3031014	1.1135387
0.1067615	0.3014667	1.0364455	0.9226673	0.8704864	0.9946662	0.4551637	1.0730570
0.0526105	0.4291841	0.8288644	0.7032910	0.9521555	0.7897441	0.8777581	1.0732249
0.0167124	0.3895612	0.9784322	0.6979242	1.1331564	0.6458310	0.5203743	0.8668867
0.0342912	0.4362839	1.0973018	0.6592152	0.8707865	0.6621964	0.4572881	0.8356912
0.2571967	0.4438067	0.8961437	0.8841780	0.5453876	0.3214722	0.2210432	0.5472378
0.1850547	0.7505984	0.9774882	0.8675676	0.8844140	0.3401262	0.2873508	0.7617616
0.5395640	0.3667250	1.0048494	0.8955054	1.1937701	0.0740771	0.2997372	1.0374285
0.5607972	0.2859997	1.1281483	0.6979010	0.9954902	0.1377636	0.2283838	0.9195476
0.5264258	0.3108609	1.1826314	0.7121018	0.9239051	0.1179664	0.2499253	0.9177575
0.5322615	0.3461108	1.1276730	0.8177261	0.9485378	0.0457886	0.2907795	0.9251535
0.4786454	0.2972093	0.9317360	0.8227678	1.1526333	0.0585466	0.2539229	1.0247339
0.6031458	0.1036454	1.0123775	0.8519378	1.0940964	0.0844337	0.2888953	0.9579519
0.5366731	0.1686174	1.1910421	0.7617966	0.9784241	0.1001342	0.2231729	0.9368554
0.5575470	0.1942545	1.0601673	0.7477032	0.6882384	0.0835050	0.1980089	0.9911314
0.7303589	0.1442836	1.0294776	0.7415839	1.0554743	0.0799517	0.2762364	1.1026230
0.6967960	0.1844809	0.9925227	0.7011951	0.9421962	0.1216767	0.3022332	1.1607680
0.7504982	0.2850982	1.1238195	0.9397107	0.5956774	0.0787546	0.2701395	1.0728541
0.3965141	0.3916301	0.8922913	0.8763005	0.6385349	0.1156113	0.1605730	1.0577439
0.5819867	0.2944217	0.9470921	0.8077332	0.5855302	0.1307845	0.2160928	0.8659740
0.4415319	0.4871421	0.9420427	0.7101583	0.8285023	0.0480076	0.2448182	0.9682108
0.5519965	0.4036459	1.0006902	0.7723620	0.7450127	0.0706903	0.2895938	1.0582811
0.2497849	0.0161652	0.8817929	0.8443259	0.4956776	0.0489178	0.7178500	1.0175568
0.1292414	0.0039925	1.0253270	0.7443156	0.6023296	0.0606166	0.6332033	1.1997779
0.5424628	0.0327921	0.8636494	0.6901840	0.9370676	0.6127549	0.5672840	0.7122730
0.5898379	0.0491224	1.0191199	0.5500137	0.8390232	0.6828793	0.6029385	0.7205037
0.5291374	0.0393008	1.2076175	0.5510084	0.8748769	0.7373654	0.5463582	0.8981363
0.5316673	0.0118977	1.0609482	0.5159667	0.7784131	0.7705661	0.5269943	0.7282824
0.6798456	0.0166258	1.1569240	0.6962099	0.8516438	0.8223530	0.5629817	0.7301788
0.4880950	0.0244064	0.8596766	0.6979588	0.8538787	0.6012537	0.5511798	0.7042595
0.5601260	0.0402442	0.9269072	0.7050990	0.8409329	0.5824185	0.6616193	0.8241812
0.5926276	0.0263156	1.1857095	0.6460233	0.8084531	0.6129071	0.7690034	0.7836341
0.5838749	0.0101572	0.9895540	0.5941316	0.8597088	0.5024968	0.5276835	0.7345995
0.8725582	0.0339217	0.9288125	0.9310340	0.8786422	0.4790218	0.6789404	0.6252504
1.0979135	0.0220699	1.0924051	0.8763396	0.7276389	0.5068277	0.7492514	0.7729162
0.7115960	0.0064086	0.9816323	0.8141442	0.9811760	0.5549491	0.5307874	0.6776225
0.9452406	0.0098522	0.9653612	0.9955338	0.8941036	0.5914621	0.6757234	0.8192334
0.8676324	0.0307844	0.9198614	0.9389771	0.8155296	0.7270121	0.6716034	0.8147399
0.9391060	0.0065825	0.9297308	0.9299356	1.0838689	0.7782633	0.8106467	0.6255251
0.8852699	0.0296922	1.0361750	0.6707449	0.8665850	0.7173122	0.7454162	0.5807834
0.7753658	0.0183542	0.8605188	0.8390123	1.0145032	0.7417211	0.6603840	0.7064887
0.8764758	0.0340339	0.9782231	0.7676969	0.9095824	0.6701962	0.6661600	0.6561079
0.0679220	0.2181680	1.0775935	0.8184533	0.9057387	0.4052379	0.1791716	0.9115170
0.1649677	0.3374577	1.0211945	0.6219273	1.0103173	0.8816863	0.3980363	1.1634685
0.1340690	0.3335929	0.9540414	0.5625321	1.0104267	0.7777939	0.4623013	0.9410166
0.2448641	0.1649879	0.9151251	0.6527686	1.0075144	0.7827857	0.3112203	0.9717470
0.1265570	0.1658667	0.8712542	0.4997479	0.8962400	0.8846354	0.3700871	1.0874751
0.1944165	0.2501604	0.8698278	0.3894380	0.9869089	0.7642236	0.4796055	0.2287431
0.2127581	0.1942104	0.9192083	0.3579510	0.9998649	0.8393563	0.4844359	0.0631790
0.1654139	0.3139036	0.9957665	0.3403033	0.9510057	0.8985606	0.5677327	0.0407692
0.1791324	0.4723188	0.6432712	0.3319889	1.1007465	0.9900250	0.8175327	0.0277665
0.1436300	0.3028326	0.9183548	0.6623506	0.9199865	0.6225917	0.4113154	0.8740209
0.1596873	0.2365069	1.0115519	0.4798695	1.0465288	0.7057717	0.4071289	0.8739361
0.1773272	0.1089035	0.9317775	0.6602942	1.0854296	0.7126530	0.3391630	1.0635853
0.2349114	0.1152154	0.9452476	0.4930231	1.0156379	0.8518570	0.4188436	1.1068930
0.0320641	0.3224028	1.0084611	0.7314392	0.9709148	0.4078637	0.2908320	1.0264776
0.0604654	0.1335462	0.7028487	0.6393103	1.0315121	0.5979480	0.1831007	0.9602328
0.0225315	0.0994957	0.9644635	0.6190259	0.8986450	0.4479415	0.1221130	0.9709308
0.0249922	0.1107221	0.9406373	0.5326251	0.9536844	0.5315015	0.0631249	0.9143321
0.0158316	0.4472537	0.9026840	0.5966377	0.9375456	0.5804542	0.2253028	0.6828991
0.0472733	0.4644895	0.9557929	0.4075084	0.8139582	0.7494754	0.3591117	0.7273896
0.0381286	0.3168845	1.0817339	0.5485676	1.0627890	0.7129199	0.2654980	0.7875830
0.0084291	0.4583509	0.9950430	0.4575957	1.0803139	0.7839831	0.3292895	0.7035610
0.0195170	0.4426839	0.9090693	0.5830327	1.1464458	0.7544220	0.3034680	0.6680909
0.0120016	0.4611079	1.0539432	0.3812976	0.9935262	0.7321360	0.2885461	0.9873721
0.0448479	0.3080855	1.0595535	0.7457392	1.1393555	0.5032570	0.3125762	1.0171553
0.0295501	0.2701666	0.9422405	0.8479506	0.8889306	0.4117549	0.3371096	0.8752691
0.0282280	0.2416413	0.8532405	0.6727431	0.9696154	0.4033691	0.2768623	0.9515932
0.0588977	0.2969768	1.1511648	0.5705232	0.8757811	0.5659343	0.3404027	0.8665426
0.0295304	0.4625555	0.9481165	0.5090054	0.8834283	0.7102993	0.1588752	0.8061118
0.0181468	0.4331506	1.0364741	0.5932679	0.8844675	0.8419732	0.2026412	0.7900144
0.0152930	0.3204779	0.9728282	0.5162966	0.7667451	0.6853765	0.2699260	0.7936644
0.0221572	0.3936972	0.7795323	0.4088803	0.8795721	0.7817935	0.1616917	0.8595287
0.0139522	0.4375358	0.7834457	0.3938956	0.9270648	0.6686015	0.3138621	0.9098721
0.0118195	0.2603235	0.9811037	0.4739669	1.1011090	0.6948960	0.2806421	0.7145863
0.0216426	0.4284769	1.0661930	0.3900921	0.9619482	0.8204145	0.2747443	0.7735988
0.0342131	0.2861875	1.1017146	0.3896944	0.9108054	0.7641715	0.3488637	0.7189028
0.0186596	0.3192561	1.0671317	0.3245962	0.9948982	0.8829986	0.2467762	0.6430127
0.0238004	0.3438503	0.9313934	0.2876415	1.0591107	0.7140864	0.3330561	0.7592333
0.0589405	0.2923163	1.0255741	0.4099495	1.0831409	0.8737624	0.2839081	0.7391350
0.0955141	0.4091947	0.9550885	0.3373174	1.1453574	0.7784553	0.2896208	0.7074190
0.0128896	0.3625712	0.8850809	0.3877745	0.9112145	0.8377265	0.3518683	0.7397372
0.0494049	0.3741668	0.9653893	0.3630363	1.0351391	0.6338508	0.2846535	0.7439228
0.0437894	0.3467493	0.8787679	0.6921663	1.1501415	0.4810450	0.2773878	0.9248178
0.0321316	0.3329383	1.1340662	0.8992257	1.0035304	0.5052664	0.2841888	1.0698416
0.0277739	0.2593037	0.9180568	0.7163693	1.0004799	0.4826015	0.2254083	0.9961843
0.1297297	0.4414817	0.9043256	0.7284498	0.9478998	0.3568336	0.4859326	1.0027343
0.1183997	0.4083119	1.0559797	0.5902383	0.8822400	0.2771816	0.3787673	0.9001411
0.0638827	0.4770487	1.0255424	0.8004396	1.0414210	0.3543447	0.4365736	0.9983307
0.1212076	0.5027869	0.9936234	0.7447855	1.0328373	0.2446954	0.6001651	1.0337446
0.1669570	0.4333090	1.0590943	0.8300601	0.9119046	0.3575299	0.6265136	1.0898793
0.1609189	0.5710418	1.0005460	0.6106484	1.1288591	0.3940484	0.5981038	1.1064859
0.0651893	0.3172784	0.8740603	0.7232299	0.8971266	0.3631708	0.2396730	1.0942733
0.0419387	0.2520455	0.7900003	0.6852828	0.8775032	0.4666201	0.2968356	0.9447813
0.0645799	0.3241658	1.0297734	0.6861481	1.0405935	0.4933004	0.1993083	0.8690920
0.0964656	0.4234222	1.1674468	0.8620724	0.9455258	0.2792321	0.4234376	1.2434473
0.0710988	0.3439032	0.9061998	0.5758765	1.0654610	0.4025122	0.5293194	0.9713975
0.1427370	0.4305425	0.9724772	0.7705549	0.9348298	0.3022781	0.3773569	1.0653187
0.0803094	0.6705479	1.0074340	0.6968983	0.9421967	0.2899629	0.7373413	1.2230790
0.1429789	0.5305524	0.8745454	0.7469424	1.0895146	0.4149144	0.4688923	1.1857590
0.1575318	0.6681918	1.0053689	0.7974421	0.9118404	0.2395959	0.6569471	1.0703956
0.1394916	0.4588297	0.9544703	0.6968129	1.0257509	0.4354405	0.7254670	0.3210217
0.1367725	0.4540100	0.9751854	0.7187950	1.0606808	0.2427603	0.5976592	0.2377650
0.0916053	0.4848500	0.9452695	0.8188257	0.8756347	0.3670965	0.5702523	0.3438500
0.4592223	0.9173170	0.3592755	1.2390336	1.0516783	0.7373994	0.8382709	0.0314851
0.6073193	0.6621371	0.8119792	1.2187404	1.2436196	0.6687230	0.7960333	0.0254111
0.7175033	0.9566135	0.6877612	1.0410079	0.9073744	0.7801227	1.1006992	0.0306418
0.0762315	0.4205974	0.9935006	0.6184433	1.0316569	0.3191373	0.5819750	0.2865051
0.1727553	0.5864975	1.0048261	0.7247530	0.8009225	0.3592775	0.7620710	0.2718129
0.1120387	0.3479563	0.9996688	0.7869145	0.8783040	0.4092090	0.5909973	0.2858650
0.6073075	0.8894746	0.5893813	0.9960752	0.9321610	0.7821796	0.8738477	0.0345151
0.5799859	0.9242932	0.5297904	0.9553419	0.9514329	0.7645124	0.7720767	0.0355266
0.5209496	1.0095643	0.3862442	1.0585922	1.1550180	0.7746255	0.8579564	0.0353088
0.0399946	0.2824193	1.2047862	0.7035581	0.9124151	0.5376246	0.2111127	1.0333409
0.6360361	0.2107981	1.0827078	0.9112287	1.1436737	0.2176601	0.4810086	0.8930021
0.5549941	0.2590950	0.9411410	0.9942996	1.0549766	0.2687806	0.5272565	1.0475313
0.6650512	0.2787730	0.8658160	0.9208625	1.0562093	0.3535613	0.5732527	0.9013581
0.0761383	0.3197051	0.8062988	0.7748988	1.0140583	0.4603363	0.3795702	0.8996955
0.0454927	0.2651183	0.9523175	0.7595499	1.3005614	0.4985874	0.4384969	0.9997404
0.1074082	0.0869459	0.9590645	0.8842697	0.9887878	0.2656199	0.4610020	1.0143928
0.0733898	0.0086395	0.9084595	0.7833015	0.9018410	0.2675300	0.4887339	0.9945202
0.1013009	0.0098916	0.9785311	0.7353579	1.0274982	0.2403420	0.5676055	0.8608294
0.1277047	0.0002242	0.9415812	0.7185138	1.0204347	0.2416263	0.5215702	1.1015292
0.1419863	0.0060900	0.8285237	0.7223472	0.8751265	0.2264807	0.4515049	0.9189186
0.0345184	0.3117090	1.1102741	0.6334215	0.6689437	0.4213091	0.1710028	1.0348505
0.0559740	0.2054708	1.0019949	0.8143222	0.9382085	0.3743804	0.1996041	0.9848643
0.1368772	0.5485294	0.9477096	0.7862237	0.8877714	0.3013567	0.3681798	1.0538512
0.1338645	0.5210923	0.9790295	0.6774574	0.8901008	0.2710923	0.4389696	1.0318649
0.1471179	0.5450283	0.8964273	0.7728488	0.9588737	0.2237006	0.2625382	0.8349917
0.1354540	0.5447123	0.9146287	0.8630250	0.8190721	0.2048389	0.3830279	0.9615408
0.2942514	0.6182494	0.9071493	0.7074141	0.9563105	0.2627709	0.4102834	0.9785137
0.2164545	0.6803894	0.8305215	0.7201114	1.0359992	0.2956242	0.3993860	1.0049977
0.0410547	0.3056563	1.3228455	0.7403014	0.7778187	0.4669686	0.2527944	0.9910550
0.0279434	0.2253120	0.8579489	0.8074115	0.9639433	0.4518420	0.1994075	1.0535355
0.2103932	0.6189242	0.9373634	0.6595123	1.0581363	0.2294607	0.2707881	1.0078606
0.1913247	0.5972093	1.1008546	0.7867762	0.9438360	0.2198802	0.3053733	1.1438914
0.1844506	0.5677831	1.1342752	0.6892727	0.9605690	0.3079098	0.3460438	0.8623006
0.2440358	0.6658001	1.0956112	0.7531195	1.0661545	0.2999956	0.3062162	1.0927617
0.2931864	0.5819019	0.9030098	0.8467257	1.1224808	0.2249145	0.4161479	0.9975669
0.2643262	0.6154401	0.9630987	0.7950429	1.0342723	0.2478768	0.3192531	1.1934485
0.0744767	0.3398355	1.0280392	0.7344174	1.0472653	0.5381007	0.2648853	1.1051375
0.0348210	0.3492588	1.3454244	0.8512620	0.8626142	0.4275577	0.1884630	0.9948215
0.1991603	0.5662647	0.9475093	0.7545891	0.9804290	0.2797603	0.2995360	0.9798717
0.1554680	0.5479606	0.8737172	0.6770803	1.0209476	0.2591380	0.3680943	0.9434295
0.2012887	0.7555819	1.0337269	0.6723240	1.0381283	0.2543903	0.3314243	0.9849348
0.1887954	0.5905202	0.9501805	0.7461373	0.8929596	0.2203346	0.3216284	1.1235510
0.2269128	0.5980595	0.9702295	0.7671784	1.0670244	0.2958167	0.3366879	0.9140260
0.2507343	0.7151159	1.0364254	0.8781281	0.9037755	0.1910810	0.3761091	1.1599727
0.0428055	0.3542445	1.0571141	0.7510100	0.9132324	0.4338833	0.2289671	0.8509305
0.0793321	0.2444766	0.9083390	0.8013427	0.8441836	0.5354377	0.1600882	0.9213782
0.0470141	0.2876917	1.0849752	0.7862813	0.9351253	0.4105863	0.1819058	1.1440017
0.0467417	0.3013895	0.8879405	0.6900064	0.8955983	0.5863490	0.1784239	0.9354438
0.0534331	0.2215885	1.0601146	0.8980908	1.0699438	0.5433323	0.1677574	0.9942118
0.0241290	0.2675803	0.8814763	0.7682247	0.9429245	0.6871346	0.2111064	0.8036121
0.0057811	0.3179773	1.0547879	0.7049656	0.9525282	0.6341358	0.2045141	0.9765947
0.0293148	0.3304361	1.0411175	0.5644224	0.9830553	0.7404788	0.0938648	0.8628607
0.0107171	0.3198277	0.8671014	0.6521216	1.0747777	0.6291704	0.1501931	0.8380692
0.0265282	0.2296793	1.1476320	0.6366599	0.9309664	0.6120936	0.2213122	0.8679705
0.0577866	0.2194791	1.0592666	0.6609172	1.0969560	0.6394757	0.1494408	0.7424761
0.0230647	0.3777494	0.9430496	0.7050605	0.9703153	0.5692802	0.1149921	0.8517152
0.0533996	0.2476630	1.1811226	0.6596494	0.9413553	0.4494817	0.2493709	0.9641114
0.0876941	0.2642269	0.8890406	0.7134589	0.8986428	0.3818644	0.2101695	0.9296848
0.0402993	0.3415724	0.7530773	0.6940862	0.9940427	0.4234013	0.2611314	0.9487432
0.0389703	0.2768337	0.8522764	0.5578020	1.1332163	0.6203078	0.2375642	1.0421554
0.0574258	0.4907030	0.9593998	0.6469627	1.2223927	0.5867927	0.1848204	0.8835044
0.0296157	0.2400932	0.9514437	0.7878942	1.0423063	0.7193581	0.1484159	1.0275517
0.0486338	0.2913818	1.0089686	0.7921851	0.9413495	0.5831480	0.1451473	0.8185405
0.0228640	0.2524000	0.9298306	0.6610563	0.9437154	0.6752962	0.1180403	0.8829940
0.0220175	0.3415666	1.0019262	0.5779677	1.0560936	0.6791596	0.1019796	0.8173309
0.0223611	0.3497864	1.0340089	0.7334859	0.9950803	0.4861221	0.2185593	0.9760775
0.0609621	0.2875454	0.9178220	0.6811713	1.0260708	0.3623903	0.2528060	1.0766511
0.0545674	0.2111587	1.0491464	0.8479640	0.9968353	0.6687216	0.2186128	0.9546220
0.0366967	0.2535207	1.0473014	0.7055496	0.9961428	0.5307299	0.2259479	1.0671696
0.0403559	0.2364944	0.9269120	0.7458124	1.0761521	0.6280901	0.1549039	1.0569525
0.0648526	0.2333321	0.9740215	0.5563124	1.0072731	0.6337187	0.1596535	0.8078234
0.0472489	0.4181694	0.9878087	0.6142005	1.2907836	0.7415510	0.1792691	1.0142883
