G117	G235	G820	G120	G171	G43	G5
0.4059742	0.5406674	1.0542473	0.6229771	0.7181023	0.9381303	0.2502049
0.4730942	0.7917854	0.8607828	0.7878424	0.4976814	1.1641956	0.1632709
0.4777108	1.0666300	0.9164504	0.9298679	0.4516584	1.0859613	0.2315324
0.4468557	0.7627377	1.1702736	0.7508126	0.4237468	0.8948222	0.2180036
0.2865738	0.6652146	1.0164820	0.7268936	0.6070520	1.1174266	0.2042015
0.4592275	0.6047625	0.9841005	0.7613028	0.4888349	1.1364460	0.2081033
0.3269414	0.9467245	0.5685807	0.6418138	0.5107663	0.8593659	0.1606540
0.3421769	0.7938205	0.4503091	0.5946013	0.5152357	0.7166915	0.2970550
0.3600811	0.7235335	0.9171749	0.6271503	1.0617384	1.1991415	0.0793552
0.7233107	0.7062081	1.0636234	0.8515946	0.5475099	0.9534865	0.0027851
0.5454157	0.9142232	1.0581251	0.8252302	0.6145264	0.9986805	0.0002679
0.4741305	0.9804059	0.9598560	1.0223396	0.6027121	0.9513975	0.0037839
0.6031102	0.7909988	1.2206886	0.8134639	0.4779183	0.8271396	0.1556725
0.8483333	0.7516104	0.7766052	1.0536474	0.5027716	0.6908742	0.1455303
0.7358020	0.7773144	0.9529135	0.8022726	0.5544466	1.0859910	0.1439944
0.8223266	0.5924582	1.0739279	0.9669177	0.5763653	0.8691985	0.1834426
0.7099302	0.5666086	0.9586605	0.9119582	0.4117691	1.1126954	0.1415244
0.2204726	0.5327343	1.0376360	0.5268294	0.7618403	1.0287004	0.1605674
0.3344051	0.5273318	1.1309129	0.5182599	0.8323314	0.8111808	0.1743126
0.4792213	0.6938765	0.9389032	0.9472593	0.6075033	1.0253425	0.3651054
0.2868748	0.7096053	0.6591705	0.6133300	0.8496919	0.9599450	0.1212436
0.3352323	0.6623340	1.0624232	0.4747734	0.5101324	1.0853276	0.2342238
0.2161290	0.6116816	0.9336709	0.4128078	0.5646251	0.8033439	0.1375548
0.1444125	0.7136815	1.0420190	0.3721905	0.6223557	1.0286141	0.1448236
0.1024499	0.6716110	0.9987185	0.3423875	0.6823546	1.1241917	0.1502648
0.5114698	0.6555762	1.1140689	0.8966924	0.5391954	1.0741887	0.2214325
0.5223684	0.5284629	0.7441565	0.8485567	0.5379977	0.9933840	0.2200543
0.4935862	0.6229014	1.0624297	0.5267923	0.5797556	0.8204585	0.2142244
0.4418304	0.8076823	0.8222487	0.4769888	0.4467159	1.0024782	0.2086044
0.3219316	0.8350000	1.0115252	0.7071344	0.4781120	0.8995469	0.1618971
0.3660455	0.6995779	0.8474271	0.5139945	0.5624253	0.8988422	0.1481848
0.3700067	0.7258879	0.8456797	0.4922103	0.5154413	0.9850717	0.1949253
0.4210791	0.7670485	0.7978802	0.4520826	0.4481960	0.9147278	0.1642667
0.3025902	0.9832386	0.8801592	0.5209344	0.4010187	0.9268461	0.1915915
0.4174542	0.8628456	0.9334458	0.3751599	0.4308728	1.0536681	0.1262153
0.3136566	0.9749532	0.8153618	0.5810510	0.3969386	1.1161219	0.1635083
0.3170353	0.8300229	0.8659885	0.5474870	0.4451633	0.7590784	0.1716724
0.6095550	0.8750484	1.0204680	0.9443039	0.4082386	0.6440150	0.3657646
0.6745266	0.8336512	0.9423686	0.8936557	0.4840693	0.7152628	0.2829394
0.6717640	0.7506490	0.9361395	1.0513668	0.3580496	0.6012607	0.2232432
0.7916779	0.7971950	0.9038229	0.9032727	0.4534396	0.6550866	0.3070847
0.4588083	0.5805425	1.2594120	0.8144370	0.5098280	1.1366066	0.2648342
0.4618954	0.7216598	0.8334583	0.7995370	0.3487870	0.8897651	0.2508487
0.4062748	0.6547291	0.9504923	0.8734500	0.4510860	0.9512837	0.1590226
0.4144188	0.7795454	0.9391735	0.8274440	0.4587062	0.8745500	0.2265168
0.5620963	0.7302953	0.8486673	0.7977136	0.4315926	0.9122542	0.1819932
0.5182224	0.6265245	0.9003769	0.8633030	0.4728305	1.0951938	0.2167396
0.4011741	0.6038597	1.0818858	0.8725345	0.3858704	1.1020681	0.2021280
0.4265387	0.5845137	0.6894399	0.8192193	0.3694581	0.9544337	0.2503758
0.4357305	0.6672383	0.8783566	0.9867751	0.3869806	0.9927870	0.2242645
0.6338419	0.7965646	1.0230662	0.8111985	0.4383184	0.9906207	0.2938184
0.4073522	0.7247926	0.9566131	0.7813721	0.3943755	0.8656977	0.2286925
0.5642612	0.7364928	0.9037360	1.0848178	0.3149541	0.9974951	0.1892997
0.4373931	0.5604490	0.8706674	0.9280311	0.4772895	1.0331724	0.2525622
0.1024156	0.2115205	0.9163610	0.1682436	1.0195142	0.6269500	0.0875408
0.4325661	0.8303214	0.8974679	0.6419310	0.8781489	0.9655142	0.1987241
0.3538143	0.7972429	1.1711189	0.7619311	0.6077671	1.0030778	0.2246226
0.3717601	0.8117730	0.9778827	0.7235999	0.4496996	1.0334233	0.3298615
0.3367601	0.9747895	1.0633210	0.4572532	0.4574701	1.0184949	0.2003179
0.3478439	0.9449886	0.8839245	0.6983597	0.4994223	1.0225534	0.1827014
0.3089881	0.8962210	1.1935688	0.7733941	0.6318563	0.9684456	0.2322095
0.2688268	0.8863637	1.1181421	0.5363028	0.4975674	0.8758004	0.2488968
0.3069208	0.8994090	0.9995284	0.6423682	0.2772129	1.0630211	0.2426102
0.3601679	0.9836621	1.1011107	0.7917195	0.3351125	0.9959019	0.2582771
0.3475719	0.8642189	0.9442793	0.7032723	0.2387920	1.0454903	0.3330315
0.4041591	0.8420160	0.9199058	0.7458113	0.2820615	1.0294352	0.3126758
0.3590026	0.7478677	0.9778823	0.6614876	0.3027438	0.9353302	0.4086530
0.2807430	1.0267062	0.9478254	0.6717071	0.3066372	1.3538994	0.2949597
0.3061660	0.9833296	0.9839440	0.6244939	0.2776154	0.9282704	0.2958148
0.3475031	1.0159887	1.1226752	0.6617388	0.3070551	1.0732402	0.2632431
0.3848741	1.0130320	1.0912956	0.6647741	0.3642843	0.9936542	0.2842196
0.3723288	0.8983269	0.8875778	0.6249887	0.3896498	0.8926873	0.2789778
0.4565720	0.6354785	0.9669281	0.7571938	0.8069176	0.9624535	0.0793238
0.5802185	0.6600355	0.7552799	0.9494135	0.6783969	1.1215148	0.1172839
0.2758859	0.6499778	0.7614323	0.6482976	0.8286789	0.9881925	0.2232955
0.2059616	0.4940234	1.1712456	0.4810104	0.8641278	0.9864136	0.1563458
0.5077147	0.6824907	0.9290666	0.7616397	0.4450443	0.9238497	0.1360492
0.5001008	0.7373777	1.0330385	0.6882261	0.3857288	0.7611958	0.1625152
0.4406181	0.5512143	1.1804210	0.6590488	0.4942485	1.0570540	0.1344237
0.4518179	0.5467226	0.9157440	0.7944903	0.4921461	0.9264868	0.0816389
0.4792658	0.7664133	1.0357887	0.6814145	0.4212835	0.9792751	0.1798087
0.3984091	0.7128416	1.1286610	0.8765240	0.4762905	0.7818498	0.1461458
0.3760985	0.6853628	1.0122938	0.7428284	0.5486481	1.1172290	0.3358792
0.3788642	0.4404516	0.9972407	0.8874203	0.4955026	1.1711268	0.2420390
0.0000000	0.6289452	1.0769632	0.0000000	0.3943045	0.9369130	0.0006038
0.0000162	0.6833021	0.8839145	0.0020322	0.5851468	0.8060716	0.0005275
0.2758982	0.5232177	1.0078901	0.3286516	1.0623460	0.9604585	0.0001997
0.3812666	0.4493919	1.0074661	0.4476678	0.9659922	0.9097217	0.0018953
0.6591633	0.5368612	0.8469916	0.7858675	0.5219231	0.9688400	0.2337936
0.6522322	0.6173013	0.8131491	0.9825649	0.4013284	1.0521235	0.1857949
0.6395597	0.8153042	0.9802263	0.8647238	0.7118065	0.7237376	0.1349454
0.6551804	0.8402148	0.9326747	0.6172989	0.6314394	0.7358513	0.1874269
0.4224720	0.6858970	0.8508470	0.7634548	0.5943666	0.8350148	0.2523746
0.4094785	0.7277031	0.9199870	0.8774746	0.4624033	0.7855346	0.3299260
0.5214791	0.6923014	0.3728150	0.9027570	0.5756202	1.0212714	0.2315208
0.4506996	0.6945329	0.3829131	0.8849741	0.5267028	1.0634504	0.1723905
0.5187095	0.6537030	0.3631647	0.8057189	0.5656820	0.8613801	0.2529757
0.4710054	0.7172533	0.4153818	0.9514726	0.4267798	1.1165920	0.2690208
0.4102823	0.8029126	0.3417326	0.7697575	0.5756717	0.9954306	0.2792671
0.4397013	0.6459197	0.2980933	0.7808440	0.5728791	0.8361594	0.2172918
0.4168867	0.8015817	0.3461081	0.9547454	0.6760028	0.8734360	0.2119809
0.4302718	0.7735046	0.4306140	0.8820199	0.5902315	1.1536150	0.2663271
0.4709307	0.6973008	0.3043598	1.0490071	0.4279078	0.9591784	0.1878068
0.4906926	0.7467402	0.4431351	0.8766575	0.4893267	0.9558857	0.2708155
0.4574008	0.7704263	0.4805834	0.8826372	0.6838305	1.2213528	0.2700761
0.4270901	0.5474037	0.4309393	0.9141281	0.6251582	0.9205539	0.3006465
0.4916019	0.8300571	0.4780596	0.8412722	0.4517591	0.9908129	0.1808832
0.5462644	0.7079490	0.3541736	0.9949653	0.5574438	0.9910211	0.2513730
0.6171305	0.8339132	0.3777144	0.8533197	0.4140697	1.3587232	0.2225572
0.1526556	0.8989933	1.1332709	0.5447476	0.0764306	0.1281386	0.3690815
0.2635040	0.8623691	1.0510923	0.4558943	0.0595033	0.0990914	0.4455564
0.5357143	0.3319855	1.1239148	0.8285787	0.4804263	0.8638283	0.2784447
0.5167173	0.4523459	1.1034652	0.9950358	0.5195756	0.8545172	0.3238680
0.7474166	0.3435944	1.0556700	0.9635000	0.4514070	0.7879050	0.2414961
0.6066709	0.4248275	1.0274378	0.9167933	0.3602819	0.9460590	0.2250879
0.6004938	0.4000533	0.9787401	0.9582032	0.4550413	0.7929680	0.3257902
0.4283327	0.4488019	0.9509362	1.0935253	0.4783438	0.7890933	0.2583073
0.5518014	0.5270208	0.8994400	0.8389341	0.5776386	0.8957567	0.2295648
0.4218693	0.5952322	1.0603144	0.5941960	0.4242690	0.8653511	0.2133013
0.5208325	0.3833294	1.0179862	0.7924280	0.4079576	0.8552513	0.3271969
0.7505277	0.7832479	1.0437985	0.8208513	0.4277504	0.0143397	0.2640041
0.7826182	0.8144669	1.0324314	1.0162818	0.4462010	0.0014001	0.2715049
0.6497495	0.7733039	1.0405430	1.0257004	0.5490934	0.0060418	0.3250448
0.9382849	0.7890958	1.0591736	0.8444752	0.3899824	0.0004273	0.4500549
0.8127046	0.7561568	0.9661731	0.7377516	0.5681753	0.0003727	0.5981491
0.8212135	0.6976730	1.0612739	0.6742091	0.4999800	0.0000203	0.8365912
0.7690165	0.7818991	0.9966007	0.8011605	0.4833311	0.0000000	0.6863156
0.8566628	0.7848712	0.9640206	0.8846121	0.5141744	0.0000000	0.8810175
0.7203969	0.8555024	0.9156599	0.8844622	0.6255841	0.0000000	0.7186485
0.6507671	0.6686853	1.0845267	0.8215902	0.5724990	1.1357523	0.1783279
0.4877890	0.6910336	0.9147302	0.7503838	0.5328234	0.8839006	0.1628324
0.4445954	0.7887827	1.1963555	0.8934696	0.5974338	0.7465497	0.1547114
0.3241444	0.7236104	0.9189792	0.7984486	0.6511555	0.7297092	0.1100146
0.4283044	0.7484229	0.9508360	0.8593794	0.5694376	0.8608522	0.1366783
0.4160851	0.6555134	1.0028021	0.4763709	0.5436839	0.1779052	0.2241219
0.2464842	0.6917072	0.7632554	0.2076569	0.5110467	0.0368082	0.1592971
0.1081030	0.7490765	0.9302319	0.2358457	0.4902315	0.0013467	0.1493706
0.0675700	0.7771426	1.0361381	0.2329323	0.4562829	0.0000000	0.3603413
0.5387419	0.5666981	1.0593759	0.9860108	0.7224109	0.1738014	0.1507356
0.4109432	0.8682811	1.1229340	0.7109098	0.5522510	0.0202547	0.1221329
0.4255640	0.7965510	1.1972566	0.8307299	0.6058823	0.0197994	0.1445750
0.4737787	0.8466283	0.9934642	1.0061032	0.4188781	0.0029313	0.3218959
0.6235003	0.6428363	0.9897748	0.8575966	0.4795987	1.0551208	0.2275802
0.3701219	0.7360486	0.9724559	0.2104876	0.4347444	0.2092593	0.2318191
0.1409521	0.8193953	0.9936910	0.0660514	0.4769034	0.0171595	0.1922325
0.0177047	0.8214815	1.1088449	0.0071086	0.4901188	0.0024160	0.3376267
0.4887073	0.6282669	0.8184030	0.8071418	0.6080386	0.9029055	0.3068592
0.4762110	0.7376882	0.7920452	0.7256480	0.7833505	0.9687173	0.3502748
0.4762748	0.5979167	0.8758953	0.8316022	0.7137148	1.1835289	0.2340469
0.2482601	0.6397401	0.7797283	0.5944100	0.7135617	0.8711383	0.1782125
0.2769290	0.7053032	0.7890698	0.7028186	0.9182657	1.1640974	0.2594965
0.3901694	0.6852914	0.9201387	0.6309962	0.6709428	1.1835855	0.2463442
0.4715416	0.5284095	1.0575325	0.8492474	0.5970529	0.8263323	0.4054553
0.6481642	0.6935831	0.9789010	0.8667359	0.7118217	1.0317711	0.2138891
0.5796735	0.6293651	0.8294571	0.9240895	0.5382707	1.1347347	0.2638172
0.4567266	0.6282995	0.8526407	0.6754009	0.6675238	0.9351917	0.3599189
0.4469757	0.6503202	0.7919832	0.8526712	0.8245416	0.9781133	0.2068505
0.5013105	0.6386598	0.9574659	0.6825727	0.6241728	1.1247212	0.2232070
0.4115013	0.7729515	0.7685822	0.7525239	0.6903779	0.9302339	0.1582456
0.4466291	0.7444821	0.9486416	0.7957797	1.0135896	0.8235089	0.2697489
0.5434515	0.6523703	0.8547522	0.9044522	0.7136560	1.0301936	0.2184712
0.5179876	0.7005608	0.7737699	0.7813748	0.7772542	0.9160780	0.2985717
0.4451612	0.6990821	0.8339777	0.6773027	0.7623280	0.9723658	0.1730540
0.5378730	0.7222762	0.8852791	0.7047369	0.6532337	0.8558782	0.2157974
0.4856566	0.7468464	0.8976820	0.5784959	0.7792528	0.9357359	0.2891605
0.3578262	0.7150157	0.7739490	0.7093628	0.7800900	1.0016646	0.2739148
0.5213553	0.6758687	0.7907574	0.7672005	0.8185590	0.9013057	0.2648346
0.4212649	0.7061749	0.8852416	0.6494973	0.8936595	0.9526121	0.3113036
0.2825520	0.8610484	0.8768842	0.6427731	0.8726918	0.9334463	0.1674360
0.5780535	0.6361217	0.9143249	0.7772906	0.8703850	1.1504252	0.2063155
0.5232248	0.7728940	1.0794201	0.8563392	0.5555277	0.9854446	0.1936894
0.5279601	0.9009057	0.9724226	0.8149896	0.6660476	0.9988532	0.2716996
0.4967015	0.7277716	0.9630809	0.9098364	0.5555073	0.9828071	0.2014421
0.5079480	0.7267430	1.1099871	0.7119312	0.5658326	0.7725139	0.1268197
0.4032957	0.7836775	0.8489399	0.6495911	0.4935814	0.7911516	0.1869646
0.3907968	0.5312960	0.8044552	0.8309961	0.5698049	0.8434564	0.2106765
0.4335680	0.8917864	0.8844734	0.7898713	0.5256739	0.8343527	0.1330456
0.3759576	0.8391970	0.6308449	0.6860164	0.5457636	0.8362736	0.1428586
0.3548326	0.7900400	0.9073064	0.7339314	0.5857005	0.8239900	0.1146117
0.6298856	0.7827491	1.0423373	0.9841341	0.6533307	0.9316807	0.2544621
0.4914885	0.6823045	1.1527477	0.9212748	0.4916263	1.1378179	0.2768487
0.6702170	0.5759180	0.8731548	0.8465558	0.6213535	1.0441366	0.2391063
0.7670765	0.7834941	0.8208293	0.2349784	0.4532615	0.9644990	0.1396341
0.8546316	0.7605003	0.9190076	0.2924337	0.5309797	0.6903718	0.1982435
0.9134752	0.8961172	0.9386192	0.1948493	0.6244920	0.7930556	0.1454783
0.7748833	0.6160262	0.8619025	0.0373144	0.6535663	0.7807434	0.0889209
0.8728848	0.4377274	0.9510270	0.0096682	0.5369084	0.7602553	0.0740928
0.8655587	0.6327002	0.9772378	0.0055694	0.6677168	0.9914642	0.0318511
0.3758874	0.8813302	1.0443958	0.7162813	0.6026392	0.2830732	0.0200390
0.4504860	0.5262994	1.0799079	0.7719157	0.5994579	0.1774533	0.0296499
0.5645587	0.6625737	0.9180154	0.6237242	0.5019281	0.1612567	0.0376744
0.6292609	0.8713994	0.7068874	0.7922444	0.6063269	0.0000236	0.0000000
0.4638782	0.9859178	0.8207981	0.8554207	0.5577825	0.0004472	0.0017450
0.3013645	0.7011754	0.7715973	0.8297136	0.6031364	0.0014077	0.0000000
0.7064326	1.0160165	1.0533665	0.2116123	0.4352590	0.1654668	0.0583928
0.7269881	0.7135114	0.9491840	0.2098654	0.5528688	0.1979490	0.0604902
0.8911167	0.8226551	1.0068061	0.2357578	0.6536751	0.1478070	0.0218589
0.8791073	0.5392204	0.8346225	0.0094098	0.6568969	0.0005426	0.0008045
0.8077351	0.5815792	0.8638653	0.0094450	0.5789524	0.0001888	0.0000000
0.7657492	0.5780825	0.9821857	0.0120555	0.6577996	0.0038150	0.0000000
0.5141816	0.6720610	0.9754173	0.8560157	0.4565539	0.9723160	0.2207891
0.5536757	0.6444207	0.9693377	0.7559271	0.5027534	0.8786053	0.2392348
0.6347831	0.5209353	1.0238743	0.8172010	0.4602555	0.8354882	0.2185715
0.5555811	0.6182661	0.9263043	0.8981014	0.4093552	1.0316002	0.2060398
0.5603588	0.5372729	1.0598331	0.8489236	0.6320252	0.9046718	0.2829827
0.6459461	0.6634091	0.8914887	0.8233228	0.5374426	0.8664973	0.0268351
0.6743191	0.7688720	0.9220504	0.7397125	0.5455995	0.7610000	0.0097435
0.6787808	0.9400225	0.8736759	0.9330096	0.4663041	1.0333647	0.0073039
0.6454583	0.9006297	0.9388239	0.7985058	0.6513766	0.8335850	0.0014769
0.8040149	0.9125559	0.8386767	0.7997829	0.6400790	0.6966441	0.0020188
0.6716771	0.9414386	1.1360416	0.7738268	0.6190398	0.8597174	0.0181200
0.5424575	0.6436458	1.0849567	0.9112083	0.5186335	0.8269754	0.2756044
0.4845642	0.7464006	1.0013434	0.9890862	0.4533777	1.2373676	0.2477022
0.5031681	0.7308493	1.0119475	0.8609595	0.6376247	0.9059696	0.1397836
0.5099173	0.7963571	0.9296300	1.1436095	0.6906493	1.0340222	0.1365382
0.4081088	0.6338748	1.0167916	0.7885603	0.6741499	1.0020707	0.1983832
0.6218227	0.6735724	0.9846293	0.7364372	0.8273928	1.0070257	0.1537994
0.4778882	0.8356796	1.1508438	0.7437529	0.4521299	0.8091667	0.1132584
0.5477266	0.7036689	0.8958727	0.8357272	0.6388707	1.0196526	0.1707905
0.5167874	0.8078893	0.9548840	0.8981568	0.4553548	1.0455685	0.3263217
0.5979280	0.8085677	0.9759762	0.8940642	0.5937328	0.7799650	0.3011308
0.8961416	0.7554018	0.9910142	0.8996431	0.4232723	1.0730470	0.1374757
0.7300636	0.7071510	0.9308955	0.8477332	0.5791663	0.8513308	0.2273373
0.8313568	0.6240301	1.0749215	0.9057023	0.6471927	0.9714437	0.1104139
0.9190518	0.6779492	1.1305592	0.9380808	0.6609129	1.0034137	0.1066481
0.9510002	0.7628894	1.0940957	0.8269356	0.5966339	0.7742548	0.1953204
0.9470962	0.7589301	1.1061755	0.8550568	0.5891718	0.9150345	0.2152837
0.4467174	0.7730409	0.9316177	1.0331682	0.5043124	0.9304549	0.2604609
0.5096903	0.7704612	0.8910901	0.8663751	0.7199495	0.9676639	0.1988235
0.4948676	0.9193444	0.9455037	0.8686893	0.4037326	1.0452926	0.2071307
0.5076125	0.6604753	1.0556167	0.7295527	0.6559672	0.9402744	0.1884612
0.5493625	0.7306033	1.0816806	0.8637154	0.6022244	1.1412652	0.1774973
0.5506030	0.8120658	0.9288030	0.7275164	0.7033518	0.9424062	0.1977906
0.4884352	0.8397064	0.8417060	0.8636743	0.5198060	0.8079443	0.2538754
0.4189567	0.7950680	0.8259097	0.7876833	0.5895187	0.9394121	0.1521907
0.7076016	0.7488811	0.8780210	0.9144332	0.6435613	1.1044773	0.2428628
0.5831829	0.5547446	1.0445159	0.8471060	0.5836844	1.2048240	0.2320679
0.4513951	0.7411713	1.0355793	0.8758433	0.5366288	1.0016571	0.2750130
0.4893097	0.6866897	0.8847194	0.7397046	0.5495256	0.9584909	0.3305281
0.7017630	0.6431880	0.8988810	0.9342707	0.5099701	1.1800937	0.2645187
0.4543276	0.6627051	1.0201819	0.5337486	0.6750987	0.8649310	0.2451932
0.4853911	0.7609124	0.8954405	0.4926710	0.6063994	1.0821228	0.1764140
0.5309820	0.7303894	1.0733463	0.5350533	0.6322664	0.9775729	0.1430636
0.5283594	0.7778328	1.0462671	0.4002083	0.9194686	1.1184980	0.1657933
0.4042012	0.8174922	1.0817025	0.3663374	0.6120648	1.0284321	0.2222374
0.3217549	0.7888030	1.1798459	0.5264823	0.7383866	0.8898988	0.1336927
0.4786309	0.5577762	0.9180853	0.4211482	0.6987095	1.0435463	0.2630075
0.5806179	0.7729020	1.1046679	0.9111379	0.5877144	0.8954046	0.2888744
0.5174373	0.6134526	0.9222418	0.9187513	0.6027658	1.0270371	0.2772625
0.7171924	0.8157713	0.8701669	0.4702023	0.6274559	0.4033010	0.2793155
0.6503946	0.8450117	0.9249779	0.4573265	0.6459229	0.5597793	0.2734636
0.9943369	0.7952279	0.9796651	0.1087199	0.7176448	0.1499339	0.1724091
1.0993871	0.6725158	1.0911771	0.0690166	0.7451524	0.1851050	0.2313202
1.0188182	0.4802645	1.2281898	0.0094237	0.7320468	0.0904136	0.1148273
1.0527138	0.5730814	1.0004907	0.0011469	0.6978970	0.1049050	0.1096553
0.9623804	0.5682681	1.1928940	0.0178661	0.5850486	0.1333371	0.1482514
0.5971036	0.5637616	0.8719653	0.9256093	0.6179449	1.1072578	0.2346002
0.4780654	0.6024155	0.9914215	0.8409960	0.6129624	0.9648769	0.2086108
0.5567010	0.7897932	0.9591682	0.8275529	0.7488698	0.8183827	0.2469756
0.5710843	0.7421513	0.8960210	0.7193896	0.4942176	1.0676415	0.2279689
0.5982735	0.6887701	0.8435554	0.4195873	0.5796295	1.0326330	0.2343978
0.7539215	0.7167308	1.1415651	0.4313712	0.7032154	1.0539210	0.2607146
0.3995757	0.6184468	0.9041893	0.3843457	0.7331037	1.0415979	0.2133330
0.5824098	0.6409946	1.1298563	0.3862696	0.6569375	1.1593476	0.1360455
0.4065042	0.7781477	0.9842506	0.4660812	0.6479809	1.0962254	0.1432373
0.4933480	0.6344682	1.0742029	0.9203924	0.5372342	0.9005003	0.2817251
0.5471080	0.7836311	0.9449626	0.8878576	0.5782890	0.9995603	0.2293176
0.5881206	0.7258018	0.9685617	0.7894791	0.5158025	0.9333497	0.2151108
0.5960489	0.7748722	0.9025297	0.6725311	0.5702938	0.8170170	0.3031018
0.6567267	0.6485047	0.7862527	0.6158035	0.6174456	1.0055056	0.2210665
0.8005844	0.7306401	1.0458069	0.5301051	0.6917561	1.0171245	0.1983472
0.6205019	0.7240274	1.0766323	0.2515756	0.6512383	0.7254173	0.2234021
0.7427468	0.8534531	1.0577909	0.2162653	0.6082504	0.6935802	0.2324778
0.8215573	0.6430606	1.1133656	0.2452042	0.6479039	0.7965002	0.2136645
0.5670193	0.6677560	1.1261137	0.1797147	0.5693381	0.8482686	0.1946572
0.7013377	0.5466260	1.0121120	0.2350686	0.8671717	0.6858214	0.1283798
0.8227593	0.6060486	0.9821550	0.1666004	0.6649524	0.7856351	0.1702140
0.6835054	0.6224864	1.0560934	0.1397050	0.6646007	0.7407577	0.0806000
0.5484051	0.6478480	0.9333575	0.9444607	0.4927611	1.2359642	0.2507261
0.3937229	0.4827710	0.7496414	0.9520450	0.5311054	1.0155501	0.2376414
0.4402629	0.5239259	0.7136841	1.0092017	0.6798589	0.8708744	0.1912799
0.4196813	0.5811376	0.5596502	0.9776455	0.7448599	0.9960489	0.2677067
0.4752774	0.4766621	0.7206143	0.7664463	0.5425471	0.7694450	0.2188223
0.5373314	0.4162447	0.6821607	0.9408889	0.4296476	0.9438031	0.2459739
0.4939235	0.5462766	0.6353650	1.0080410	0.4819745	1.0287927	0.1633783
0.4946458	0.5893467	0.7856413	0.9046967	0.4453329	0.9330278	0.1529007
0.4351405	0.4793933	0.5498980	0.8935047	0.3930248	0.9954004	0.2533832
0.5708257	0.5704387	0.4910318	0.8481030	0.5332826	1.0282905	0.2043130
0.5442921	0.7532265	1.1591719	0.7181878	0.5065436	1.0166500	0.3992890
0.5050021	0.3804371	0.8558584	0.7761567	0.5064294	1.0107295	0.1739778
0.6764091	0.5609523	0.7916629	0.7839055	0.4900837	0.9912215	0.2162070
0.4593382	0.4724745	0.8033851	0.8055884	0.3537571	0.3589588	0.1295265
0.5216479	0.6626094	0.8941451	0.9695834	0.3558080	0.4323735	0.2120369
0.6133709	0.6481269	0.9397987	1.0093580	0.4123925	0.9997821	0.2495070
0.5417148	0.4729247	0.9827346	1.0032875	0.5236017	1.0431604	0.2522723
0.5911288	0.5580239	0.8620673	0.9286932	0.5391310	0.3128543	0.1599838
0.6397417	0.6026007	0.9973930	0.8960471	0.3697831	0.2663020	0.2144416
0.5761603	0.3530739	0.7492449	0.7298863	0.5210347	0.9590245	0.2234725
0.4904713	0.3767887	0.7842498	0.7786169	0.5707488	1.0710455	0.1217964
0.5121251	0.7196798	0.8300096	0.9929493	0.5454134	0.8675796	0.1568834
0.4854162	0.8230251	0.8458769	0.7866881	0.4971429	0.8768692	0.1712871
0.5068236	0.8198430	0.9062912	0.7545938	0.4329920	0.7544330	0.2285511
0.4888694	1.0409585	1.0091644	0.8093767	0.4753732	0.8739710	0.2134620
0.4928079	0.6907522	0.9795724	0.9408515	0.3045962	0.0575922	0.2573485
0.6747965	1.2244925	1.0349733	0.8974807	0.0448230	0.0109693	0.3484921
