G626	G1249	G406	G807	G1036	G294	G755	G915	G1517	G1304	G1253	G554	G161	G192
0.6614425	0.5340859	0.2859478	0.9915167	0.7808099	0.7043151	0.4144541	0.0933886	0.8575133	0.3452323	0.3553265	0.5103407	1.0367008	0.6339174
0.6354835	0.3690675	0.3176085	0.9242408	1.1710507	0.7339299	0.4413620	0.0566767	1.0355852	0.3543843	0.2822581	0.3477259	1.2313817	0.6502093
0.6917182	0.5858010	0.3842379	0.8398579	0.9002309	0.7361364	0.4965400	0.2094851	0.8016164	0.4224104	0.4300856	0.4763784	1.0787897	0.8478926
0.4598637	0.5108098	0.3389187	0.8387724	0.9060162	0.8359258	0.5056427	0.2872913	0.7856351	0.4340935	0.2838054	0.5295749	1.0128903	0.6922208
0.6399454	0.3934012	0.4477810	0.9500808	0.3207478	0.5062212	0.5941551	0.3105904	1.0383243	0.4556902	0.3405224	0.2676600	1.0291842	0.7689065
0.6193960	0.3839463	0.5657964	0.8019782	0.4308534	0.5246852	0.4014631	0.3119744	1.0270191	0.6409347	0.3998277	0.2504121	0.9395275	0.7151053
0.5538024	0.4352878	0.4796777	0.7939964	0.2140751	0.5307946	0.4372803	0.2733263	0.9776065	0.4975403	0.3078398	0.2386166	1.2444553	0.9977957
0.6266872	0.4571329	0.5183125	0.7709168	0.3565401	0.5801490	0.2199850	0.3086772	1.0452157	0.6526960	0.3979518	0.2485281	0.8689044	0.6628508
0.6206276	0.3750080	0.6466390	0.9141943	0.2579100	0.5701730	0.2171722	0.3315374	1.0758278	0.4315423	0.3679220	0.2096727	0.8874084	0.8779682
0.4660329	0.5310461	0.4647119	0.6542349	0.2203746	0.4005403	0.2955427	0.2894625	0.9653234	0.5403887	0.3842411	0.1923105	0.9379601	0.7704591
0.5551060	0.5128425	0.5779861	0.9644648	0.2235430	0.5112364	0.2495081	0.3951355	1.0249581	0.6908095	0.2703792	0.2703271	0.8663471	0.8564546
0.7037213	0.4671249	0.5210490	0.7834950	0.1378757	0.5273946	0.2702642	0.3486340	0.8654918	0.6879021	0.2953297	0.3480817	1.1944482	1.1511522
0.5554107	0.3781172	0.5934320	0.7999368	0.3318951	0.4927819	0.2097916	0.3857212	0.9923451	0.6204014	0.3216546	0.4860925	1.0727095	0.9994693
0.5838364	0.3866042	0.5938697	0.7962711	0.1060457	0.4591733	0.2725769	0.3405827	0.8281884	0.7212082	0.2962788	0.3637400	0.9708684	0.7187858
0.5938505	0.3775329	0.6702216	0.7918980	0.2082708	0.5405383	0.2066648	0.3940035	0.9442000	0.4351918	0.2638690	0.4584104	1.1188382	0.7116016
0.5767468	0.4004084	0.5527010	0.8626267	0.1869834	0.5558562	0.2501785	0.3902572	0.9713357	0.6737692	0.2779873	0.3269615	0.8241874	0.9341681
0.5566327	0.4349091	0.5418961	0.8154744	0.5951354	0.6774504	0.4299779	0.3581556	0.9730586	0.4726028	0.3486829	0.0646268	1.0386387	0.7813532
0.8130432	0.5392732	0.1212516	0.9042182	1.1247041	0.9987413	0.5116064	0.6654789	0.8058536	0.7513110	0.2544591	0.2951745	1.0782133	0.7125187
0.6108194	0.3695153	0.6527373	0.8453482	0.5137262	0.5097131	0.4254065	0.4051590	0.7359924	0.4966986	0.3312168	0.0005806	0.9622457	0.6851558
0.6898843	0.0376929	1.0372739	0.7492732	0.0827843	0.4808722	0.4263365	0.1323520	0.7552846	0.4601741	0.2953925	0.0145146	0.9541565	0.6822138
1.0813679	0.9051395	0.5845952	0.5131372	0.9482702	0.2490378	0.3083918	0.0106007	0.3969200	1.0384874	0.7428889	0.3105903	0.4627719	0.0871627
0.9633167	0.9897307	0.5185077	0.4458054	1.1981769	0.3719501	0.3597356	0.0144509	0.4179501	0.9936956	0.8527122	0.1962534	0.4647668	0.1818500
1.0772235	0.8844994	0.5230315	0.6112490	1.0758251	0.2808367	0.3072190	0.0082120	0.3589482	0.8319804	0.7025127	0.1816588	0.5393798	0.1445026
0.8779605	0.9125685	0.6052912	0.5541552	1.0673910	0.4194168	0.3753863	0.0269347	0.5132356	0.9582743	0.9199386	0.2314320	0.3973329	0.1664146
0.8467621	0.8881597	0.5180367	0.5316008	1.1629559	0.4399745	0.3181663	0.0214071	0.5077143	0.9391429	0.8779304	0.1308049	0.4075614	0.2039505
0.9258497	0.9428111	0.5759593	0.6113567	0.9704146	0.1281814	0.8688539	0.0431723	0.3041752	0.9166805	0.8063595	0.4565288	0.4925707	0.1583257
0.9497270	0.8983511	0.7765626	0.2979148	1.0937095	0.0605067	0.8940931	0.0568336	0.3677635	0.9329810	0.8244870	0.4295193	0.3995839	0.1105810
0.8084968	0.9316656	0.5284823	0.5197257	1.1604724	0.1202406	0.7364555	0.0545391	0.2427003	1.0230948	0.8131023	0.4512116	0.3849701	0.0850377
0.9400587	0.9524469	0.6159185	0.4467969	0.8337972	0.1017600	0.7332085	0.0354698	0.3083895	1.0034496	0.8347401	0.3980815	0.4303811	0.0882669
1.0344717	1.0173499	0.5285605	0.4344082	1.1993286	0.0990983	0.6975402	0.0362648	0.2517395	0.8674299	0.6605644	0.3023277	0.4655730	0.1483318
1.0296602	0.9376505	0.5046506	0.4980759	0.9851140	0.0854905	0.7836339	0.0349866	0.3588631	0.9189751	0.9452992	0.4148883	0.4686439	0.1821105
1.1397714	0.8584755	0.6580078	0.4964460	0.9275114	0.1357010	0.6152327	0.0244116	0.3190471	0.8928584	0.7218444	0.2670817	0.4688277	0.1745846
0.8107833	1.0198160	0.4762910	0.6012920	1.0059024	0.1143385	0.6865072	0.0369111	0.3148159	1.0235282	0.8678684	0.3521907	0.5167569	0.1372391
0.8635090	0.9305231	0.5821592	0.6902191	0.9221042	0.1529411	0.9069997	0.0875030	0.3757623	0.7808619	0.8206221	0.3139491	0.5200603	0.1712991
0.9239473	0.9595266	0.6349864	0.5208657	1.0419101	0.0686892	0.7373075	0.0633370	0.2975130	1.0273411	0.7930181	0.2937669	0.4006540	0.0926416
0.5009402	0.4984663	0.2503756	0.7272845	0.1395460	0.7649235	0.5030289	0.6147476	0.8044410	0.0953615	0.3745271	0.0663700	0.9857616	0.8324340
0.6147965	0.2053573	0.4218333	0.7801038	0.1997068	0.6393397	0.4573678	0.5320805	0.8746367	0.1668785	0.3499538	0.0830976	0.8432731	0.7079150
0.8393960	0.6128467	0.3215278	0.7822297	0.8141770	0.6216311	0.5031652	0.3762469	0.7536291	0.5727724	0.2121928	0.0455130	0.8490151	0.4247116
0.4479976	0.3324965	0.1378409	0.8266515	0.7614675	0.8467533	0.5982884	0.3268075	0.8834273	0.4263076	0.1674557	0.0146627	0.7641217	0.9879916
0.7215193	0.4256860	0.4613837	0.7740250	0.5795197	0.4871445	0.3207467	0.7544427	0.6845250	0.3869672	0.3575611	0.1998711	0.6919828	0.5339643
0.7647813	0.4349438	0.4711635	0.8020138	0.4965820	0.4639103	0.2280297	0.5926317	0.6709910	0.5289021	0.3984590	0.0499990	0.7230544	0.5322590
0.7689127	0.5116838	0.5933309	0.6973058	0.5324424	0.3432494	0.1944768	0.8008657	0.7321438	0.4501413	0.3481952	0.0846032	0.8011729	0.6244334
1.0158222	0.4213388	0.4085572	0.7680916	0.7452590	0.3960030	0.1653738	0.7494032	0.7356188	0.3903757	0.4388837	0.0653260	0.7098673	0.4282875
0.7851583	0.3615615	0.4827386	0.6485782	0.7373226	0.2649483	0.1509884	0.5904800	0.6996724	0.4953495	0.4056483	0.0768607	0.9842399	0.4353949
0.6871174	0.5127561	0.6461897	0.7873540	0.7300342	0.2826209	0.2089593	0.6474248	0.7910088	0.5169404	0.3479726	0.1394446	0.7177796	0.4927115
0.9461949	0.6178567	0.7566005	0.7995502	0.4523611	0.4377397	0.4587072	0.6371671	0.8988535	0.3981858	0.4995989	0.1506204	0.7393840	0.4735433
0.8107388	0.4975409	0.8358912	0.8389311	0.3406558	0.3940718	0.4499572	0.6186400	0.9167437	0.3081923	0.4590187	0.0806602	0.7188901	0.5473078
0.7833549	0.4857479	0.5729341	0.6323580	0.4803024	0.1163992	0.3304293	0.2121064	0.2991958	0.8300162	0.6012128	0.2566676	0.2116423	0.1540766
0.6954426	0.3496183	0.7794922	0.5515302	0.5015228	0.0489105	0.4293106	0.0929138	0.1799026	0.7183802	0.6760435	0.3897588	0.1690558	0.1965301
0.6867990	0.4366306	0.1561719	0.7585162	0.5290205	1.0512232	0.0794880	0.5464231	1.2517376	0.7143721	0.4435245	0.0425424	1.0509875	0.8845506
0.7863519	0.2797040	0.1620537	0.9231065	0.6810963	0.8165349	0.0884733	0.5165745	0.8014862	0.9627274	0.3707502	0.0088085	1.1566275	0.7346526
0.8024821	0.4529752	0.5693122	0.7959293	0.7893423	0.4275039	0.4664993	0.3287389	1.1668069	0.4249149	0.4028035	0.0512279	0.9532787	0.4327503
0.7949188	0.2778068	0.9070245	0.7253599	0.6430871	0.3981940	0.5483737	0.2815685	0.9450394	0.5818231	0.4067005	0.0806603	0.7764468	0.5650332
0.6892611	0.7168103	0.1658895	0.8627350	0.9072301	0.3444758	0.3097396	0.2960203	0.6782848	0.3867957	0.3520121	0.0615171	0.5624315	0.3235690
0.5906583	0.2394800	0.0894114	0.9441129	0.2615596	0.6540301	0.0501126	0.5718128	0.8583295	0.0618273	0.1049311	0.0189730	0.6817880	0.9662355
0.6422410	0.8578449	0.4924872	1.1250373	0.3714448	0.6273622	0.5852403	0.7292764	0.8716951	0.4358973	0.2838860	0.0323476	0.9557206	0.8444285
0.6305370	0.3562495	0.7634188	0.8661355	0.4419458	0.5640175	1.0279254	0.6619388	0.9961196	0.5254090	0.3963063	0.0493727	1.0303360	0.6859306
0.6169926	0.3940448	0.6151449	0.7455016	0.1472886	1.0416013	0.0145890	0.4013494	0.9657616	0.5109974	0.2039365	0.1023803	1.0104102	0.9182362
0.5896379	0.4054932	0.6415637	0.7858649	0.1219287	0.8789369	0.0071494	0.2990508	0.8661398	0.5689752	0.2215532	0.1304941	1.1940046	0.8003377
0.5309267	0.4373376	0.6896568	0.9712981	0.2076033	0.9895568	0.0227594	0.4302484	1.0228573	0.5264298	0.3110369	0.1119977	1.0513228	0.8246119
0.7035560	0.3401734	0.6893537	0.9988312	0.2830477	0.8997376	0.0112895	0.3470910	0.9260246	0.3639673	0.1436531	0.1205322	1.0504102	0.7863525
0.6864449	0.3623518	0.4838688	0.8773318	0.1757237	0.8071780	0.0057887	0.2435850	0.9463316	0.5985605	0.2047285	0.1149637	0.9428070	0.7072318
0.6217117	0.3443462	0.6044327	0.8270397	0.2097229	0.5707741	0.0099737	0.4045976	0.7988995	0.5683889	0.1675207	0.1281789	1.0454874	0.9182784
0.6779219	0.3525254	0.7384230	0.8591292	0.2358346	0.4911378	0.0119015	0.2673219	0.7624048	0.5301401	0.1672278	0.1390285	0.8595498	0.8483271
0.7292219	0.4689289	0.7357457	0.6207125	0.2553717	0.5485555	0.0129167	0.3699700	0.7494835	0.5607954	0.2291978	0.0942469	0.9826744	0.7555386
0.5027557	0.3408351	0.5236912	0.8062198	0.2091767	0.5315409	0.0031183	0.4963598	0.8370088	0.4758696	0.1335262	0.1729429	0.9363669	0.8694828
0.5862295	0.3332951	0.6560087	0.7630947	0.3215234	0.5383472	0.0163623	0.3734076	0.7500784	0.6587347	0.2070508	0.2081054	0.9035790	0.7627342
0.7184667	0.4964325	0.5439954	0.7926125	0.0708026	0.5138413	0.0097935	0.2850156	0.9275365	0.3580586	0.2236469	0.0909773	1.0717356	0.8539042
0.5653660	0.5238425	0.8037217	0.8296608	0.1567219	0.6202736	0.0123311	0.3132913	0.9081112	0.5936272	0.1967729	0.0788233	0.8583276	0.8076489
0.8341274	0.4242199	0.6524644	0.8385080	0.1983938	0.5264547	0.0578524	0.3465057	0.8755881	0.5436348	0.1971309	0.0720832	1.0370018	0.7955217
0.7221072	0.2829003	0.6696243	1.0202776	0.1966162	0.5064904	0.0116866	0.5446991	0.7684053	0.5462533	0.2693834	0.1362754	0.9484876	0.7719290
0.7311084	0.4512179	0.7274631	0.7740037	0.0959267	0.5546740	0.0153654	0.3121177	0.8027308	0.3402533	0.1521807	0.1293944	0.9618986	0.7165274
0.5397148	0.5888524	0.4838744	0.9589023	0.8145568	0.4549016	0.0255171	0.8520008	0.3062478	0.4398600	0.2961644	0.1915638	1.0141849	0.9359762
0.6130306	0.6764023	0.5503698	0.7901774	0.8992516	0.5306884	0.0334738	0.7629575	0.1250494	0.5300767	0.2132422	0.3091214	0.8694881	1.0269755
0.5434740	0.2901912	0.8442063	0.9238656	0.2286007	0.4910006	0.4118598	0.2235367	0.7565458	0.2974467	0.3127692	0.3055613	0.9108036	0.9415048
0.6938935	0.3021941	0.9643184	0.7487448	0.3409073	0.5555310	0.6986119	0.2630734	0.7314289	0.3634959	0.2161296	0.1960280	1.0456173	0.7516841
0.5902267	0.2912857	0.7539834	0.6891420	0.2509588	0.5812689	0.5995714	0.3343146	0.7938668	0.3867793	0.3493996	0.2789045	0.8947283	0.7406754
0.6522712	0.3147685	0.8005124	0.7358461	0.1912525	0.4996819	0.8767134	0.3189529	0.6070349	0.4275436	0.2324464	0.2257850	0.9215088	0.7314261
0.4923643	0.1302899	0.6530375	0.8937397	0.2392807	0.5032899	0.8058877	0.2159529	0.8328429	0.3569474	0.2814839	0.2718294	1.0043148	0.8532883
0.5816503	0.2679269	0.7652591	0.6602477	0.2312465	0.6529617	0.5872359	0.2636103	0.7265360	0.4310910	0.2931259	0.2651873	1.0268437	0.8504836
0.6744262	0.2704332	0.9416144	0.6502978	0.4193207	0.4843974	0.6871105	0.2570700	0.7791674	0.3795288	0.3506739	0.2435427	0.9973589	0.7574654
0.5631772	0.2137774	0.8981736	0.8226723	0.2630316	0.5073415	0.6976403	0.2883253	0.7409950	0.3252083	0.3636420	0.3149293	1.0068297	0.7226124
0.5628823	0.2888140	0.7364811	0.7640899	0.3121128	0.6116069	0.4918146	0.2622123	0.7933572	0.3080574	0.3113734	0.3045472	0.8758426	0.6702539
0.7290369	0.3492768	0.8311984	0.8494076	0.8342031	0.6366522	0.6621066	0.2221304	0.7437041	0.5209146	0.3844473	0.2748818	0.9839471	0.7741021
0.8075047	0.4460726	0.8330890	0.7044357	0.8764594	0.6396364	0.5025685	0.2446509	0.6582028	0.8640658	0.3223307	0.2658143	0.9614009	0.6317512
0.6813212	0.2305225	0.7670351	0.6489763	0.7472110	0.5229589	0.6893588	0.2812549	0.8509652	0.5906345	0.4106323	0.2589663	1.0962341	0.5019105
0.8683463	0.2887720	0.9487011	0.7468690	0.8480701	0.5098910	0.7173133	0.2200806	0.7198928	0.7723992	0.3650665	0.1844116	0.8544974	0.6189572
0.6014678	0.2317939	1.0005320	0.8312569	0.8399558	0.4434932	0.5327487	0.1761367	0.6854619	0.7860608	0.4296915	0.2068725	0.8751109	0.5790242
0.6841072	0.3395167	1.0030638	0.6679124	0.7762666	0.4190666	0.4822904	0.2247326	0.8628281	0.8905132	0.3909234	0.1696333	0.9518232	0.6822798
0.7572967	0.1982576	0.6534170	0.7921504	0.6741644	0.4519089	0.4358083	0.2412627	0.6281878	0.7535649	0.2842736	0.1510957	0.9212885	0.6842668
0.6306063	0.2440349	0.7116334	0.7359936	0.8540008	0.5293245	0.4656614	0.2387582	0.6586577	0.6002564	0.3890513	0.1948520	0.8977251	0.6691685
0.6841462	0.2394017	0.8982117	0.7654084	0.7857347	0.5685736	0.6027764	0.3293867	0.6459347	0.5907301	0.3321393	0.1991984	1.0691959	0.8160728
0.5107323	0.3667716	0.5425432	0.9670325	0.5842606	0.5426485	0.4673760	0.4322730	0.9110524	0.5911772	0.2800156	0.0772905	0.9089630	0.7808625
0.6956778	0.5275017	0.5166549	0.7569478	0.4073789	0.8811708	0.4440991	0.3951395	0.9489047	0.5061782	0.3092075	0.0536301	0.8808875	0.5907194
0.6955659	0.4066157	0.5504536	0.6774134	0.3724617	0.8016806	0.1316674	0.4423588	1.0838932	0.5790401	0.4100759	0.1196416	0.8838864	0.7186379
0.7495703	0.4923069	0.6422866	0.9661310	0.6393722	0.8928511	0.0302168	0.3254049	1.2837351	0.6294675	0.3333850	0.0927825	0.9058782	0.5521430
0.8505859	0.4668742	0.5622570	0.7856702	0.6580598	0.8749442	0.0274209	0.3719841	0.9753328	0.5916699	0.4720484	0.1944399	0.8170457	0.6892505
0.7416405	0.4251927	0.6166090	0.8146480	0.5445881	0.8124042	0.1957761	0.2720195	0.9960043	0.5097814	0.2697600	0.0520093	0.5214455	0.5678156
0.8368053	0.6417240	0.5807875	0.7535393	0.9419735	0.7201584	0.0837797	0.3311599	1.1780156	0.4788880	0.3224436	0.0577117	0.4660313	0.2885010
0.9504372	0.4449130	0.6187140	0.5613874	0.8535049	0.7183984	0.0335185	0.2244932	1.0513322	0.8428498	0.4985113	0.1271108	0.3656181	0.1914587
0.8978721	0.5091622	0.4941654	0.5503978	0.8625516	0.4484799	0.0006663	0.1837781	0.5552379	1.1385800	0.5613713	0.3360249	0.2591431	0.0789957
